Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification	DraftRarity
Enemy Proximity Warning Indicator	TMR	TMR011_Enemy_Proximity_Warning_Indicator	N	Equipment	Space - Device	1				R	11		Pay 2 Force -> Equip to a unit without an Enemy Proximity Warning Indicator equipped. | Equipped Space unit gets Riposte 1 and "Pay 1 Force -> Ambush 3." | Equipped Space unit piloted by Din Djarin also gets "Pay 1 Force -> Retaliate 3."		NEW, MV	NR
Gideon's Praetorian Guard (A)	TMR	TMR012_Gideon_s_Praetorian_Guard_A	D	Ground/Character	Imperial Remnant Bodyguard Squad	5	50	4	4	R	12		Switch: +2 power/+2 health | Adapt: Critical Hit 1/Precision | Parry X+1, where X is the number of equipment cards attached to Gideon's Praetorian Guard.		NEW, MV	UR
Gorian Shard (A)	TMR	TMR013_Gorian_Shard_A	N	Character	Pirate Crime Lord	4	30	3	6	R	13		Upkeep: Put 1 credit counter on a Pirate in any arena, or tap Gorian. | Remove 2 credit counters from one of your Pirates in any arena -> Take 1 30/2/1 Shipmates Subordinate with "Surge 1" and put it into the Ground arena. Play only during your build step.		NEW, MV	UR
Gorian Shard's Cumulus-Class Corsair (A)	TMR	TMR014_Gorian_Shard_s_Cumulus_Class_Corsair_A	N	Space	Pirate Crime Lord Capital Ship	6	20	6	6	R	14		Each of your Pirates in this arena gets Stun 2. | Put 1 credit counter on an untapped unit in any arena -> That unit gets -1 power until end of turn.		NEW, MV	UR
Greef Karga (G)	TMR	TMR015_Greef_Karga_G	N	Character	Nevarro Magistrate Diplomat	5	40	3	5	R	15		[tap] -> Remove 1 counter of any type from a unique Mandalorian or from one of your opponent's units. | Remove 1 redemption counter from one of your units in any arena -> Prevent 2 damage to a unit in the same arena.		NEW, MV	UR
Grogu (L)	TMR	TMR016_Grogu_L	N	Character	Mandalorian Force Sensitive Child	4	40	2	5	R	16		[tap], Tap one of your other Mandalorians -> Redirect to that other Mandalorian. | Pay 4 Force -> Protect 4, and if Grogu prevented damage to a Mandalorian, you may untap Grogu or that Mandalorian. | INSERT: Pay 1 Force -> One of your Mandalorians without Shields gets Shields 1 until end of turn.		NEW, MV	UR
Hot Pursuit	TMR	TMR017_Hot_Pursuit	N	Mission		1				R	17		When the battle phase starts, choose an arena. Each of your units in the chosen arena can attack units in your opponent's build zone until end of turn. When the battle phase starts, if your opponent has no units in their build zone, return this card from your discard pile to your hand and gain 2 Force.		NEW, MV	NR
Hyperspace Heroics	TMR	TMR018_Hyperspace_Heroics	N	Mission		1				R	18		Each of your Space units gets Velocity 30 and Precision until end of turn. | Enhance: Pay 2 Force -> Each of your Mandalorian unit cards gets Hidden Cost X, where X is its printed build cost, until end of turn. | Pay 1 build points -> Meditate		NEW, MV	NR
Kom'rk-Class Squadron (A)	TMR	TMR019_Kom_rk_Class_Squadron_A	N	Space	Mandalorian Squadron	7	60	6	6	R	19		Stack: Any unique unit with "Kom'rk" in its name. | Each of your Mandalorian Character unit cards gets Hidden Cost X-1, where X is the unit card's printed build cost.		NEW, MV	UR
Large Spider Tank (A)	TMR	TMR020_Large_Spider_Tank_A	N	Ground	Spider Scavenger Mech	6	40	0	6	R	20		When you deploy Large Spider Tank, or when your first build step starts, Take a Cyborg Mech unit card from outside the game and put it on this unit as a Pilot. | Last Stand: Move any Pilot on this unit to its arena untapped. | Barrage X, where X is this unit's power. | As long as Large Spider Tank doesn't have a Pilot, it doesn't count towards arena control.		NEW, MV	UR
Moff Gideon (G)	TMR	TMR021_Moff_Gideon_G	D	Character	Imperial Remnant Warlord Officer	8	60	6	6	R	21		Armor | Parry 1 | Each of your units with 1 or more corruption counters on it gets "Adapt: +10 speed/+1 power."		NEW, MV	UR
Moff Gideon (H)	TMR	TMR022_Moff_Gideon_H	D	Character	Imperial Remnant Warlord Officer	7	50	6	6	R	22		Hidden Cost X, where X is 7 minus the number of Officers in the Character arena. | Consume | INSERT: Each of your other Imperial Officers gets Avenge 2.		NEW, MV	UR
Nite Owl's Kom'rk-Class Fighter (C)	TMR	TMR023_Nite_Owl_s_Kom_rk_Class_Fighter_C	N	Space	Mandalorian Nite Owl Starfighter Transport	5	60	4	4	R	23		Accuracy 1 | Put 1 damage counter on Nite Owl's Kom'rk-Class Fighter -> Ambush 4		NEW, MV	UR
Paz Vizsla (C)	TMR	TMR024_Paz_Vizsla_C	N	Character	Mandalorian Warrior	6	40	5	5	R	24		Armor | Adapt: Critical Hit 3/Ferocity | When one of your Mandalorian Characters attacks and damages one of your opponent's units, Paz does 1 damage to that unit when the attack ends.		NEW, MV	UR
Paz's Intervention	TMR	TMR025_Paz_s_Intervention	N	Battle						R	25		Pay 4 Force -> Disrupt an attack. Choose one of your untapped units in the same arena and it attacks the unit which was attacking with Precision. Play only when a unit is attacking and only before attack dice are rolled. | Enhance: Pay 1 more Force -> Your attacking unit gets Overload 3 for this attack.		NEW, MV	NR
Paz's Piece de Resistance	TMR	TMR026_Paz_s_Piece_de_Resistance	N	Battle						R	26		Pay 3 Force -> The attacking unit gets Overload X+5 for this attack, where X is the number of units the defending player has in the same arena. If the attacking unit is a unique Mandalorian, it also gets Overkill for that attack.		NEW, MV	NR
Raptavian Shriek Hawk	TMR	TMR027_Raptavian_Shriek_Hawk	N	Ground	Raptavian Creature	6	60	8	5	R	27		Deploy: Take 3 30/0/1 Shriek Hawk Hatchling Subordinates with "Each of your Raptavians gets -1 power and Fury 1." and "Raptavians can't retreat." and put them into the Ground arena. | Stun 2 | When your first turns starts, trigger this unit's deploy ability. | Avenge 2 | Barrage 6		NEW, MV	UR
Rocket Platoon	TMR	TMR028_Rocket_Platoon	D	Ground	Imperial Remnant Squad	5	60	4	4	R	28		Hidden Cost 4 | Adapt: Stun 2/Overload 2 | Pay 2 Force -> Take 1 40/2/2 Rocket Trooper Subordinate with ?Stun 1? and put it into its arena. Play only during your build step.		NEW, MV	UR
Shadow Council (A)	TMR	TMR029_Shadow_Council_A	D	Ground	Imperial Remnant Officer Squad	8	40	5	10	R	29		Stack: Any unique Imperial Remnant Officer. | Stealth | Whenever you deploy a card to Shadow Council's stack, you may remove a damage counter from an Officer or from Shadow Council. | Each of your Imperials gets +1 power.		NEW, MV	UR
The Armorer (D)	TMR	TMR030_The_Armorer_D	N	Character	Mandalorian Merchant Warrior	7	50	5	5	R	30		Armor | Adapt: Critical Hit 2/Remove 1 counter from your Resource -> Protect 2 | Each of your Mandalorians with an Equipment attached gets Surge 2.		NEW, MV	UR
The Great Forge of Mandalore (A)	TMR	TMR031_The_Great_Forge_Of_Mandalore_A	N	Ground	Mandalorian Facility	7	10	2	8	R	31		Reduced Cost 5: If you have no Mandalorians. | Upkeep: Add 1 counter to your Resource. | Each of your Mandalorians gets +X+1 power, where X is the number of Equipment cards attached to it.		NEW, MV	UR
The Mandalorian Way	TMR	TMR032_The_Mandalorian_Way	N	Equipment	Space/Ground/Character - Trait	3				R	32		When a Mandalorian is attacked, attach this Trait to a Mandalorian in the same arena. | Equipped Mandalorian gets "Last Stand: This unit does 4 dice of damage to a unit which attacked a Mandalorian in this arena this turn." and Avenge 4. | Equipped unique Mandalorian also gets "Surge X, Where X is the number of Mandalorians in this arena."		NEW, MV	NR
The Return	TMR	TMR033_The_Return	N	Event						R	33		When the battle phase starts, each player may reveal a unique unit card from their hand. If the card a player reveals has the same name as a unit which was discarded from any arena earlier in the game, that player may take a card with that name from their discard pile and put it into their hand.		NEW, MV	NX
The Tribe (C)	TMR	TMR034_The_Tribe_C	N	Ground	Mandalorian Warrior Squad	6	50	5	5	R	34		Stack: The Armorer, Paz Vizsla, and Ragnar Vizsla. | Each of your Mandalorian Characters gets Tenacity 1. | INSERT: As long as The Tribe has 2 or more cards in its stack, it gets Armor.		NEW, MV	UR
Unified Shock Force (A)	TMR	TMR035_Unified_Shock_Force_A	N	Ground	Mandalorian Warrior Squad	8	50	7	7	R	35		Stack: Bo-Katan Kryze, The Armorer, and any unique Mandalorian Squad. | Consume | Discard a unit card from your hand, or from this unit's stack -> Evade 2. If the discarded card has the same name as a card in this unit's stack, Unified Shock Force does 2 dice of damage to the attacking unit.		NEW, MV	UR
Adelphi Base	TMR	TMR036_Adelphi_Base	L	Location	Space/Ground - Adelphi New Republic Facility	3				U	36		Reduced Cost 1: If you have a Dark Side unit in play. | Each of your units with "X-wing" or "Y-wing" in its name gets Accuracy 1, Avenge 2 and Resilience 1. | When the battle phase ends, remove 1 damage counter from one of your Pilots in any arena.		NEW, MV	NC
Adelphi Y-wing	TMR	TMR037_Adelphi_Y_wing	L	Space	New Republic Starfighter	4	40	3	3	U	37		Bombard 3 | Tenacity 1		NEW, MV	UU
Anzellan Droidsmiths	TMR	TMR038_Anzellan_Droidsmiths	N	Ground	Nevarro Anzellan Mechanic	3	20	2	5	U	38		Deploy: Search your deck for a Droid or Mech unit card, reveal it and put it face down in your build zone with 1 build counter on it. Shuffle your deck. | [tap] -> Remove 1 damage counter from one of your Droids or Mechs. Play only when this unit would attack. | IG-12 gets Damage Control 1.		NEW, MV	UU
Axe Woves (C)	TMR	TMR039_Axe_Woves_C	N	Character	Mandalorian Bounty Hunter Mercenary	5	50	4	4	U	39		[Pilot] Capital Ship or Fleet Pilot. The Capital Ship or Fleet gets: * Adapt: Riposte1/Resilience 2 *This unit isn't discarded due to having more damage counters on it than its health until the end of the Space battle step. *Last Stand: Move Axe Woves to the Character arena untapped and do 1 dice of damage to each other unit in the Character arena.		NEW, MV	UU
Bo-Katan Kryze (H)	TMR	TMR040_Bo_Katan_Kryze_H	N	Character	Mandalorian Warrior - Nite Owl - Mandalore	8	60	6	6	U	40		Armor | Each of your Mandalorians gets +1 power. | As long as Bo-Katan has the Darksaber attached, she gets Inspiration.		NEW, MV	UU
Captain Gilad Pellaeon (D)	TMR	TMR041_Captain_Gilad_Pellaeon_D	D	Character	Imperial Remnant Officer	2	30	3	3	U	41		Each of your Grand Admiral Thrawn unit cards gets Hidden Cost X, where X is its printed build cost minus 1. | Each of your opponent's Space units gets -10 speed.		NEW, MV	UU
Clone Jedi Hunters	TMR	TMR042_Clone_Jedi_Hunters	D	Ground	Republic Clone Soldier Squad	4	50	4	4	U	42		Upkeep: Put 1 corruption counter on this unit or tap it. | As long as your opponent has a Jedi in this arena, this unit gets +10 speed.		NEW, MV	UU
Clone Tanks	TMR	TMR043_Clone_Tanks	N	Resource		2				U	43		When your build steps starts, roll a number of dice equal to your Force total. Add 1 counter for each 5 or 6 you rolled this way. | Remove 4 counters -> Search your deck for a unit card with the same name as one of your units, reveal it, and either put it into your hand or discard it. Shuffle your deck. | Remove 8 counters -> One of your units gets Accuracy X until end of turn, where X is the number of unit cards in your discard pile with the same name as that unit.		NEW, MV	NC
Cyborg Mech (A)	TMR	TMR044_Cyborg_Mech_A	N	Character	Scavenger Mech	5	50	0	4	U	44		When Cyborg Mech is deployed or moved into its arena, if you don?t control a Tiny Evil Cyborg, take one from outside the game and put it on Cyborg Mech as a Pilot. | Last Stand: Move any Pilot on this unit to its arena untapped. | As long as Cyborg Mech doesn't have a pilot, it doesn't count toward arena control. | Mech Pilot. The Mech gets: +5 power.		NEW, MV	UU
Din Djarin (M)	TMR	TMR045_Din_Djarin_M	N	Character	Mandalorian Bounty Hunter	7	50	6	6	U	45		Armor | Lucky 2 | INSERT: Remove 1 counter from your Resource -> Your attacking Mandalorian gets "Bounty: Add 2 counters to your Resource." for this attack.		NEW, MV	UU
Din's N1 Starfighter (E)	TMR	TMR046_Din_s_N_1_E	N	Space	Mandalorian Naboo Starfighter	5	60	3	3	U	46		Velocity 20 | Each of your Space units gets Surge 1. | INSERT: Overload 2		NEW, MV	UU
Doctor Pershing (C)	TMR	TMR047_Doctor_Pershing_C	N	Character	New Republic Refugee Scientist	3	20	2	5	U	47		Upkeep: Put 1 redemption counter on Pershing, or tap Pershing. | When a Clone is deployed, you may remove all redemption counters from Pershing. If you do, put 1 corruption or 1 redemption counter on the deployed Clone.		NEW, MV	UX
Elia Kane (B)	TMR	TMR048_Elia_Kane_B	D	Character	Imperial Remnant Officer Agent ? Spy	3	20	2	2	U	48		When the retreat step starts, untap Elia. | [tap] -> One of your opponent's units loses one of their Reserves abilities until end of turn. Play only during your build step. | [tap] -> One of your opponent's units loses Lucky for this attack.		NEW, MV	UU
Gideon's Praetorian Guard (B)	TMR	TMR049_Gideon_s_Praetorian_Guard_B	D	Ground	Imperial Remnant Bodyguard Squad	5	50	4	4	U	49		Parry 1 | Barrage 4 | Gideon's Praetorian Guards gets Critical Hit 2 when attacking a unique Mandalorian.		NEW, MV	UU
Greef Karga (H)	TMR	TMR050_Greef_Karga_H	N	Character	Nevarro Magistrate Diplomat	4	30	3	4	U	50		When the battle phase starts, if you completed a Mission this turn, you may give a unit Lucky 3 until end of turn. | INSERT: Adapt: Lucky 1/Riposte 1		NEW, MV	UU
Hunting Party (rename)	TMR	TMR051_Hunting_Party	N	Ground	Mandalorian Squad	7	40	7	7	R	51		Bounty: Return a Character unit card from your discard pile to your hand. | Armor | As long as your opponent has a Creature in this arena, this unit gets +20 speed and can only attack Creatures.		NEW, MV	UU
IG-11 (E)	TMR	TMR052_IG_11_E	L	Character	Nevarro Droid Marshal	5	50	4	5	U	52		Upkeep: Put 1 captivity or 1 redemption counter on a unit, or tap one of your Droids. | Resilience 2 | Do 1 dice of damage to IG-11  ->  Prevent 1 damage to another Nevarro unit.		NEW, MV	UU
Jawa Opportunists	TMR	TMR053_Jawa_Opportunists	N	Ground	Tatooine Jawa Scavenger Squad	4	40	3	3	U	53		Reduced Cost 3: If there is an Equipment card in any discard pile or in your build zone. | [tap] -> Detach an Equipment card with a silver border attached to one of your opponent's units unless your opponent pays 2 Force.		NEW, MV	UU
Jedi Temple Knights	TMR	TMR054_Jedi_Temple_Knights	L	Ground	Coruscant Jedi Knight Squad	5	50	4	4	U	54		Whenever this unit damages a Clone, gain 1 Force. | Tenacity 2 | Pay 1 Force -> Deflect 1		NEW, MV	UU
Kelleran Beq (A)	TMR	TMR055_Kelleran_Beq_A	L	Character	Jedi Master	5	50	4	4	U	55		When Kelleran or a unit he is piloting prevents damage to a Force Sensitive Child or a Jedi Padawan, gain 2 Force. | Pay 2 Force -> Evade 2 | Pay 3 Force -> Protect 2 | [pilot] Speeder Pilot, the Speeder gets: *Pay 2 Force -> Protect 2 *Forewarning: Do 1 damage to a unit.		REP, CW, REB	UU
Kelleran's Speeder (A)	TMR	TMR056_Kelleran_s_Speeder_A	L	Ground	Coruscant Speeder	3	60	2	2	U	56		When you move a unit onto Kelleran's Speeder as a Pilot, put up to 2 build counters on a partially built card in your build zone. Play only once per game.		REP, CW, REB	UU
Knight of the Ancient Order of Independent Regencies	TMR	TMR057_Knight_of_the_Ancient_Order_of_Independent_Regencies	N	Equipment	Ground/Character - Trait	1				U	57		When Grogu does damage to another unit, attach this Trait to Grogu. | Equipped Grogu gets the Plazir subtype and "Remove 1 mastery counter from Grogu -> Remove 1 damage counter from Grogu or Din Djarin." and "When your build step starts, if an Equipment was attached to Grogu last turn, put 1 mastery counter on Grogu and gain 1 build point."		NEW, MV	NX
Lateral Battery	TMR	TMR058_Lateral_Battery	N	Space	Fortification	1	30	4	1	U	58		Accuracy -1 | When this unit would attack, it taps without attacking unless you have a unit in the space arena with a total build cost of 5 or more.		NEW, MV	UU
Mandalore 9ABY	TMR	TMR059_Mandalore_9ABY	N	Location	Space - Mandalorian	3				U	59		Each of your Mandalorians gets "Reserves: [tap] -> Choose a subtype. Reveal the top card of your deck. If the card has the chosen subtype, put it into your hand." | When your build step starts, you may discard 3 cards from your hand. If you do and each of the cards has the Mandalorian subtype, you may pay 3 Force. If you do, gain 3 build points.		NEW, MV	NR
Mandalore Langskib	TMR	TMR060_Mandalore_Langskib	N	Ground	Mandalorian Vehicle	3	50	3	3	U	60		This unit can have up to 3 Pilots. | Each of your Mandalorian Characters gets " Vehicle Pilot. The piloted Vehicle gets +10 speed, Lucky 1 and Last Stand: Move all Pilots from this unit to their arena tapped."		NEW, MV	UU
Mandalorian Flotilla (A)	TMR	TMR061_Mandalorian_Flotilla_A	N	Space	Mandalorian Fleet	9	20	8	8	U	61		Stack: Any unique Mandalorian Space unit. | Avenge 2 | Take a card from Mandalorian Flotilla's Stack and Put it into your hand -> Evade 2		NEW, MV	UU
Mandalorian Veteran	TMR	TMR062_Mandalorian_Veteran	N	Character	Mandalorian Warrior	5	50	4	4	U	62		Accuracy 1 | Armor | Resilience 2		NEW, MV	UU
Mandalorians of Mandalore (A)	TMR	TMR063_Mandalorians_of_Mandalore_A	N	Ground	Mandalorian Warrior Squad	4	50	4	4	U	63		As long as you have a unique Mandalorian in the Character arena, Mandalorians of Mandalore gets Tenacity 2. | As long as there is a Mandalore in any arena, Mandalorians of Mandalore gets Damage Control 2.		NEW, MV	UU
Muster Up a Hunting Party	TMR	TMR064_Muster_Up_A_Hunting_Party	N	Mission		2				U	64		Choose one: Take a Mandalorian Subordinate and put it into its arena. Play only if you have a unit in that arena. Or: Return up to 2 Mandalorian unit cards from your discard pile to your hand.		NEW, MV	NR
Nite Owl's Kom'rk-Class Fighter (D)	TMR	TMR065_Nite_Owl_s_Kom_rk_Class_Fighter_D	N	Space	Mandalorian Nite Owl Starfighter Transport	5	50	4	4	U	65		Overload 2 | Pay 2 Force -> Retaliate 3 | INSERT: Parry 1		NEW, MV	UU
Nothing to Cling to But Ashes	TMR	TMR066_Nothing_To_Cling_To_But_Ashes	N	Battle						U	66		Discard up to 2 Mandalorian unit cards from your hand and draw a card -> One of your Mandalorians gets Avenge X+1 and "Pay 0 Force -> Retaliate X+1" until end of turn, where X is the number of Mandalorian unit cards in your discard pile.		NEW, MV	NC
Outer Rim Pirates	TMR	TMR067_Outer_Rim_Pirates	N	Ground/Character	Pirate Crime Gang Squad	4	50	3	3	U	67		Avenge 2 | Pay 1 Force -> Retaliate 3		NEW, MV	UU
Paz Vizsla (D)	TMR	TMR068_Paz_Vizsla_D	N	Character	Mandalorian Warrior	6	40	5	5	U	68		Last Stand: Do X dice of damage to the attacking unit, where X is Paz's power. | Critical Hit 2 | Armor | INSERT: When damage counters would be put on one of your units as a result of an effect from a non-unit card, put 1 less damage counter on that unit.		NEW, MV	UU
R5-D4 (C)	TMR	TMR069_R5_D4_C	N	Character	Astromech Droid	3	10	2	2	U	69		[tap] -> Your opponent searches their deck for a Location card and reveals it, unless they pay 2 Force. If they reveal a Location, they discard it and lose 1 Force. Your opponent shuffles their deck.		NEW, MV	UU
Reconditioned Super Battle Droid	TMR	TMR070_Reconditioned_Battle_Droid	N	Ground/Character	Plazir Droid	4	40	4	4	U	70		Reduced Cost 3: If you have a Mechanic in play. | Ferocity | When the battle phase starts, your opponent rolls a die. If the result is a 1, tap this unit and it does 1 damage to each of your units in its arena.		NEW, MV	UU
Remnant Interceptor Hangar	TMR	TMR071_Remnant_Interceptor_Hangar	D	Location	Ground - Imperial Remnant Facility	2				U	71		Pay 2 Force -> Take 1 60/2/2 Remnant Interceptor Subordinate with "Pay 1 Force -> Intercept" and put it into the space arena. Play only during your build step.		NEW, MV	NC
Repulsor Pram (A)	TMR	TMR072_Repulsor_Pram_A	L	Equipment	Character - Device	2				U	72		Pay 1 Force -> Equip | Equipped Character gets +2 health. | Equipped Grogu also gets "Retreat Grogu -> Search your deck for a Mandalorian unit card, reveal it, and put it into your hand. Shuffle your deck. Play only when no unit is attacking."		NEW, MV	NC
Resistor Manager (A)	TMR	TMR073_Resistor_Manager	N	Character	Plazir Droid Bartender	2	20	1	1	U	73		Reserves: [tap] -> One of your Droids in any arena gets Critical Hit X until end of turn, where X is the number of Droids in your build zone.		NEW, MV	UU
Saifir (A)	TMR	TMR074_Saifir_A	N	Ground/Character	Plazir Ugnaught Mechanic	4	40	2	4	U	74		Each of your units in this arena gets +1 health.| Each of your other Droids and Plazir units in this arena gets +10 speed. | Each of you other Mechanics and Ugnaughts in any arena gets +1 power.		NEW, MV	UU
Scrapyard Transit	TMR	TMR075_Scrapyard_Transit	N	Ground	Coruscant Train	4	40	2	8	U	75		Velocity 10 | Each of your Characters gets Velocity 10.		NEW, MV	UU
Shard's Starfighters	TMR	TMR076_Shard_s_Starfighters	N	Space	Pirate Crime Gang Squadron	4	50	4	4	U	76		Tenacity 1 | When this unit attacks, if you have a unique Pirate in any arena, this unit gets Lucky 2 for that attack.		NEW, MV	UU
The Armorer (E)	TMR	TMR077_The_Armorer_E	N	Character	Mandalorian Diplomat	7	50	5	5	U	77		Upkeep: Add 1 counter to your Resource, or tap one of your Mandalorians. | Armor | When you remove 1 or more counters from your | Resource, you may remove 1 damage counter from a Mandalorian.		NEW, MV	UU
The Duchess of Plazir (A)	TMR	TMR078_The_Duchess_Of_Plazir_A	N	Character	Plazir Royal Diplomat	3	30	2	4	U	78		As long as you have a Mandalorian in the Ground arena, each of your Plazir units gets Lucky 2.		NEW, MV	UU
The Tribe (D)	TMR	TMR079_The_Tribe_D	N	Ground	Mandalorian Warrior Squad	6	40	5	6	U	79		Stack: Any unique Mandalorian Ground unit or Character. | Adapt: Accuracy 1/Shields 1 | When you add a card to The Tribe's stack, you may remove 1 damage counter from The Tribe.		NEW, MV	UU
Town Square Troop (A)	TMR	TMR080_Town_Square_Troop_A	N	Ground	Nevarro Kowakian Monkey-Lizard Creature	4	30	2	2	U	80		When one of your opponent's units attacks a Creature in the Ground arena or a Nevarro unit, it gets Backfire 3 for that attack. | [tap]  -> A Ground unit or Character without Stealth gets -20 speed until end of turn.		NEW, MV	UU
Transfer Manoeuvre	TMR	TMR081_Transfer_Maneuver	N	Battle						U	81		Move one of your untapped Pilots to another unit it can pilot in the same arena. | Remove 2 counters from your Resource -> Meditate, if Transfer Maneuver hasn't been played this turn.		NEW, MV	NX
Vambrace Dart Launcher	TMR	TMR082_Vambrace_Dart_Launcher	N	Equipment	Ground/Character - Weapon Device	1				U	82		Pay 2 build points -> Equip to a unit without Vambrace Dart Launcher attached. | Pay 2 Force -> Equip to Grogu without Vambrace Dart Launcher attached. | Equipped Mandalorian gets +2 power and Cunning. | Equipped Grogu also gets Critical Hit 3.		NEW, MV	NR
Vane (A)	TMR	TMR083_Vane_A	N	Character	Nikto Pirate	4	50	4	4	U	83		Each of your Nikto and Pirates in the Character arena gets Surge 2. | When one of your other Nikto or Pirates in the Character arena is discarded as a result of an attack, pay 2 Force, or retreat Vane.		NEW, MV	UU
We Must Walk This Way Together	TMR	TMR084_We_Must_Walk_This_Way_Together	N	Mission - Campaign		1				U	84		When the turn starts, if you have a Mandalorian in 2 or more arenas, choose one: Put 1 redemption counter on a Mandalorian, Or: One of your unique Mandalorians gets "Last Stand: Do 1 unpreventable damage to one of your opponent's units." until end of turn. | When your build step starts, if your Force total is 2 or more and if you have a Resource called "This Is the Way", lose 2 Force and gain 1 build point.		NEW, MV	NC
You Are One of Us	TMR	TMR085_You_Are_One_Of_Us	N	Mission - Campaign		1				U	85		When the battle phase starts, if you have Bo-Katan Kryze or Din Djarin in any arena, choose one: Gain 1 Force and put 1 redemption counter on a Mandalorian. Or: Remove 1 corruption counter from a unit.		NEW, MV	NC
Adjustment Technician (A)	TMR	TMR086_Adjustment_Technician_A	N	Character	Aquatic Mon Calamari Scientist	3	20	2	2	C	86		Pay 2 Force -> Choose one of your opponent's units and one of its subtypes. That unit loses the chosen subtype until end of game and can't gain it. | Reserves: Pay 2 Force -> Return a Scientist unit card from a discard pile to the top of its owner's deck.		NEW, MV	UC
Alamite	TMR	TMR087_Alamite	N	Ground	Alamite Scavenger	3	40	3	3	C	87		Pay 0 Force -> Ambush 2		NEW, MV	UC
Amnesty Interviewer	TMR	TMR088_Amnesty_Interviewer	L	Character	New Republic Coruscant Droid	2	10	1	2	C	88		Reserves: [tap] -> Draw a card. Play only when your opponent deploys a Character unit card.		NEW, MV	UC
Amnesty Trainees	TMR	TMR089_Amnesty_Trainees	L	Ground	New Republic Squad	3	30	2	4	C	89		Reduced Cost 2: If your opponent has 2 or more Dark Side cards in their discard pile. | As long as this unit has 1 or more damage or corruption counters on it, it gets "Treat this unit as an Agent."		NEW, MV	UC
