Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Githany's Lightwhip (A)	RO2	ROT011_Githany's_Lightwhip_A	D	Equipment	Character - Lightwhip Weapon	2				R	11		Pay 2 Force -> Equip | Equipped Jedi or Sith gets +10 speed and Fury 2. | Equipped Githany also gets + 2 power and Accuracy 1.		TOR
Gloom Walkers (A)	RO2	ROT012_Gloom_Walkers_A	D	Ground	Sith Soldier Squad	6	40	5	5	R	12		Treat this unit as Force Sensitive. | Accuracy 1 | Armor | Pay 1 Force -> Evade 1		TOR
Jedi Encampment	RO2	ROT013_Jedi_Encampment	L	Ground	Old Republic Jedi Fortification	7	10	*	10	R	13		This unit's power is equal to the total number of Jedi you have in the Ground arena. | Tap -> Remove 1 damage counter from each of your Jedi in the Ground arena. Play only when this unit would attack.		TOR
Kas'im (A)	RO2	ROT014_Kas_im_A	D	Character	Twi'lek Dark Jedi Master - Sith Lord	8	50	6	5	R	14		Critical Hit 3 | Parry 3		TOR
Knight Shall Come	RO2	ROT015_Knight_Shall_Come	L	Mission		2				R	15		To complete Knight Shall Come, you must also retreat one of your units. Gain 2 Force and remove all corruption counters and up to 5 damage counters from that unit.		TOR
Laa (A)	RO2	ROT016_Laa_A	N	Character	Bouncer Creature	3	50	0	2	R	16		When Laa is attacked, the attack ends unless your opponent pays 4 Force. | Prevent all damage to and from Force Sensitive Children. 		TOR
Lightning Strike	RO2	ROT017_Lightning_Strike	D	Battle						R	17		Pay 3 Force -> One of your Dark Jedi or Sith in the Character arena gets +5 power for this attack. | Enhance: Pay 2 more Force -> That unit also gets Overkill for this attack. Play only if Darth Bane is in the Character arena.		TOR
Lord Hoth (C)	RO2	ROT018_Lord_Hoth_C	L	Character	Old Republic Jedi Master	9	40	7	4	R	18		Armor | Lord Hoth gets +1 health for every other Jedi you have in the Character arena. | Each of your other Jedi in the Character arena gets "Pay 1 Force -> Retaliate 2." |Pay 4 Force -> Evade 3		TOR
Orbalisk Armor (A)	RO2	ROT019_Orbalisk_Armor_A	D	Equipment	Character - Armor Defense	2				R	19		Pay 2 Force -> Equip | Equipped  Jedi or Sith gets "Upkeep: Pay 4 Force or put 1 damage counter on this unit or discard Orbalisk Armor from this unit.", and "Each unit gets Accuracy -2 when attacking this unit." | Equipped Darth Bane also gets +2 power. 		TOR
Raskta Lsu (A)	RO2	ROT020_Raskta_Lsu_A	L	Character	Echani Old Republic Jedi Master	9	70	5	5	R	20		Accuracy 1 | Critical Hit 2 | Parry 2 | You can attach Lightsaber Weapons to Raskta without paying the equip costs.		TOR
Rule of Two Doctrine	RO2	ROT021_Rule_of_Two_Doctrine	D	Equipment	Character - Skill	0				R	21		Pay 2 Force -> Equip | Equipped Sith Apprentice or Sith Lords gets "When the battle phase starts, if you have only 1 Sith Apprentice, 1 Sith Lord, and no other units in the Character arena, choose one: Gain 2 Force. Or: One of your Sith in the Character arena gets +2 power until end of turn."		TOR
Ruusan Reformation	RO2	ROT022_Ruusan_Reformation	L	Resource		2				R	22		When the battle phase ends, if you control an arena, add 2 counters to this Resource. If you have at least 1 Diplomat in that arena, add 2 more counters to this Resource. | Remove X counters -> Gain X Force.		TOR
Ruusan Valley	RO2	ROT023_Ruusan_Valley	N	Location	Ground - Ruusan Forest Landscape	2				R	23		Whenever this location would be discarded from the Ground arena, prevent it from being discarded unless your opponent pays 4 Force. | Each of your units in the Ground arena gets: "Tap -> Tap one of your opponent's units in the Ground arena with printed build cost equal to or less than this unit."		TOR
Set Harth (A)	RO2	ROT024_Set_Harth_A	N	Character	Independent Dark Jedi Explorer	4	60	3	3	R	24		Whenever Set would be discarded from the Character arena, return Set to your hand instead. | Devices cost 1 less Force to attach to Set. | Pay 2 Force -> Set gets Critical Hit 4 for this attack. | Pay 1 Force -> Evade 1		TOR
Sith Master and Apprentice (E)	RO2	ROT025_Sith_Master_and_Apprentice_E	D	Ground	Dark Jedi - Sith Squad	8	40	6	6	R	25		Whenever one of your opponent's units is discarded from any arena, you gain 1 Force. | As long as Darth Bane and Darth Zannah are in the Character arena, Sith Master and Apprentice gets +20 speed, +2 power, and Critical Hit 2. | Pay 2 Force -> Evade 2		TOR
Sith Succession	RO2	ROT026_Sith_Succession	D	Resource		2				R	26		Whenever one of your Sith Lords is discarded from any arena, add 2 counters to this Resource. | Remove 2 counters -> One of your Sith Apprentices loses the Sith Apprentice subtype, gain the Sith Lord subtype, and gets +20 speed and +2 power until it is discarded. 		TOR
Thought Bomb	RO2	ROT027_Thought_Bomb	D	Mission		6				R	27		Discard all Force Sensitives, Jedi, and Sith from the Ground and Character arenas. Play only if you have 2 or more Jedi or Sith in each of those arenas. Gain Force equal to the number of units discarded and your opponent loses all of his or her Force.		TOR
Valenthyne Farfalla (A)	RO2	ROT028_Valenthyne_Farfalla_A	L	Character	Half-Bothan Old Republic Jedi Master	7	70	6	4	R	28		Each of your other Jedi Characters gets +10 speed. |  Pay 2 Force -> Evade 3 | Pay 2 Force -> Prevent up to 3 damage to one of your other Jedi Characters.		TOR
Worror Dowmat (A)	RO2	ROT029_Worror_Dowmat_A	L	Character	Ithorian Old Republic Jedi Master	6	30	3	6	R	29		Each of your other Jedi Characters gets +1 health and Shields 1. | Tap, Pay 3 Force -> Remove up to 4 damage counters from one of your Jedi Characters. Play only when Worror would attack.		TOR
Zannah (B)	RO2	ROT030_Zannah_B	D	Character	Force Sensitive Child	3	40	2	2	R	30		When Zannah is discarded from the Character arena, you may search your deck for a Darth Zannah unit card. If you do, show it to your opponent, and put it into your build zone with 2 build counters on it. | Tap, Pay 3 Force -> Put 3 damage counters on one of your opponent's Jedi in the Character arena. Play only when Zannah is attacked or would attack.		TOR
Bouncer Flock	RO2	ROT031_Bouncer_Flock	N	Ground	Bouncer Creature Squad	4	50	0	5	U	31		Each of your units in the Ground arena gets "Foresight: Gain 1 Force"		TOR
Crian Maru (A)	RO2	ROT032_Crian_Maru_A	L	Character	Old Republic Jedi Knight	5	50	4	4	U	32		Foresight: Your opponent loses 2 Force. | Pay 2 Force -> Evade 2		TOR
Darth Bane (E)	RO2	ROT033_Darth_Bane_E	D	Character	Dark Jedi Master - Sith Lord	12	40	10	10	U	33		When Bane would be discarded from the Character arena, you may pay 2 Force. If you do, return him to your hand instead. | As long as Bane is damaged, he gets -2 power. | As long as Bane has an Equipment attached, he gets Parry 1.		TOR
Darth Cognus (A)	RO2	ROT034_Darth_Cognus_A	D	Character	Ikototchi Dark Jedi - Sith Apprentice	5	60	4	4	U	34		Pay 2 Force -> Cognus gets +2 power and Accuracy 1 for this attack. | Pay 2 Force -> Deflect 1 | Pay 2 Force -> Evade 2		TOR
Darth Gean (A)	RO2	ROT035_Darth_Gean_A	D	Character	Twi'lek Dark Jedi - Sith Lord	6	50	5	4	U	35		Tap, Put 3 damage counters on Darth Gean -> Discard one of your opponent's Jedi Knights or Light Sith from the Character arena.  Play only when Gean would attack and only once per game. 		TOR
Darth Gravid (A)	RO2	ROT036_Darth_Gravid_A	L	Character	Dark Jedi Master - Light Sith Lord	6	40	5	5	U	36		Each of your opponent's Sith in the Ground and Character arena gets -20 speed and loses Stealth. | Tap -> Discard all Equipment attached to one of your opponent's Sith in the Character arena. Play only during your build step.		TOR
Darth Guile (A)	RO2	ROT037_Darth_Guile_A	D	Character	Dark Jedi Master - Sith Lord	4	30	2	4	R	37		Critical Hit 2 | Parry 1 | Stealth | Pay 3 Force -> Evade 3		TOR
Darth Ramage (A)	RO2	ROT038_Darth_Ramage_A	D	Character	Dark Jedi Master - Sith Lord - Scientist	5	50	3	5	R	38		Tap, Pay 4 Force -> Roll two dice. Gain Force equal to the combined total of both dice. Play only when no unit is attacking. | Pay 2 Force -> Evade 3		TOR
Darth Vectivus (A)	RO2	ROT039_Darth_Vectivus_A	D	Character	Dark Jedi Master - Sith Lord	5	40	4	4	U	39		Stealth | Tap, Pay 2 Force -> Draw 2 cards. Play only during build step. | Pay 2 Force -> Evade 2		TOR
Facing Darkness	RO2	ROT040_Facing_Darkness	L	Mission		2				U	40		This turn, whenever one of your Jedi is discarded from the Ground and Character arena, gain 2 Force and draw a card.		TOR
Fairwind (B)	RO2	ROT041_Fairwind_B	L	Space	Old Republic Jedi Gunship - Flagship	6	50	6	5	U	41		Shields 2 | Pay 1 Force -> Retaliate 2		TOR
Fateful Encounter	RO2	ROT042_Fateful_Encounter	D	Mission		2				U	42		Choose two of your unique units in the Character arena. When the turn ends, if both units are still in the Character arena, draw 2 cards and gain X Force, where X is  the difference between the total build costs of the both units.		TOR
Foresight	RO2	ROT043_Foresight	N	Equipment	Character - Skill	2				U	43		Pay 2 Force -> Equip. | Equipped unique Force Sensitive, Jedi or Sith gets "Foresight: Untap one of your other unique units in the Character arena."		TOR
Freedon Nadd's Holocron (A)	RO2	ROT044_Freedon_Nadd_s_Holocron_A	D	Equipment	Character - Device	2				U	44		Pay 2 Force -> Equip | Equipped Jedi or Sith gets "Whenever this unit uses an activated ability that costs 2  or more Force, you may do 1 dice of damage to one of your opponent's units in the Character arena. This damage can only be prevented by a Jedi Master."		TOR
Glorious Charge	RO2	ROT045_Glorious_Charge	L	Battle						U	45		Pay 2 Force -> Choose a Jedi in each arena. Each of the chosen Jedi gets +20 speed and +2 power until end of turn. | Enhance: Pay 4 more Force -> Each of the chosen Jedi also gets Fury 2 and Overkill until end of turn. Play only if Valenthyne Farfalla is in the Character arena. 		TOR
Innocence Lost	RO2	ROT046_Innocence_Lost	N	Battle						U	46		Pay X Force, put 1 corruption counter on X of your Force Sensitive Children -> X of your Force Sensitive Children each gets +2 power and Fury 2 until end of turn. | Enhance: Pay 1 more Force -> Innocence Lost can't be disrupted.		TOR
Jedi Airhooks	RO2	ROT047_Jedi_Airhooks	L	Ground	Old Republic Jedi Speeder Squad	4	60	2	2	U	47		Accuracy 2 | Pay 1 Force -> Evade 2		TOR
Jedi Battle Veterans	RO2	ROT048_Jedi_Battle_Veterans	L	Ground	Old Republic Jedi Squad	5	40	4	4	U	48		Armor | Pay 1 Force -> Evade 1 | Pay 1 Force -> Retaliate 2		TOR
Jedi Gunship	RO2	ROT049_Jedi_Gunship	L	Space	Old Republic Jedi Gunship	5	40	5	5	U	49		Bombard 4 | Pay 1 Force -> This unit gets Critical Hit 2 for this attack.		TOR
Johun Othone (A)	RO2	ROT050_Johun_Othone_A	L	Character	Old Republic Jedi Knight	4	30	3	3	U	50		Tap -> Look at your opponent's hand. If your opponent has any Sith unit cards there, you may search your deck for up to 4 Jedi Character unit cards. If you do, show them to your opponent and put them into your hand. Shuffle your deck. Play only once per game. 		TOR
Kaox Krul (A)	RO2	ROT051_Kaox_Krul_A	D	Character	Dark Jedi Knight - Sith Lord	6	40	5	4	U	51		Fury 1 | Tap -> Kaox does 7 dice of damage to one of your opponent's Jedi Characters. Kaox doesn't untap during your next untap step. Play only when the Character battle step starts. | Pay 2 Force -> Deflect 1 | Pay 3 Force -> Evade 2 | Pay 1 Force -> Intercept		TOR
Kiel Charny's Flier (A)	RO2	ROT052_Kiel_Charny_s_Flier_A	L	Ground	Old Republic Jedi Speeder	4	50	2	3	U	52		Lucky 1 | Tap -> Move one of your Force Sensitive Children from your build zone into your Character arena untapped. Play only when no unit is attacking.		TOR
Lord Kaan (A)	RO2	ROT053_Lord_Kaan_A	D	Character	Dark Jedi Master - Sith Lord	7	50	6	5	U	53		Each of your other Sith in the Character arena gets Fury 1. | Pay 4 Force -> Untap one of your Sith with printed build cost 4 or less. | Pay 3 Force -> Evade 2 		TOR
New Sith Wars	RO2	ROT054_New_Sith_Wars	N	Battle						U	54		Pay 4 Force -> Put 2 damage counters on every unit in the Ground arena. Gain 1 Force for every unit discarded as a result of this damage. 		TOR
Nightfall (A)	RO2	ROT055_Nightfall_A	D	Space	Dark Jedi - Sith Capital Ship - Flagship	7	30	6	6	U	55		Each of your Sith Squadrons and Starfighters gets Accuracy 1 and Critical Hit 1.		TOR
Pernicar (A)	RO2	ROT056_Pernicar_A	L	Character	Old Republic Jedi Master	4	20	2	4	U	56		When Pernicar is discarded from the Character arena, you may choose up to 2 of your Jedi in the Character arena. If you do, each of the chosen Jedi gets +10 speed and +1 health until end of game. | Pay 1 Force -> Evade 1		TOR
Ruusan Forest	RO2	ROT057_Ruusan_Forest	N	Location	Ground - Ruusan Forest Landscape	3				U	57		Halve all damage (rounded up) that would be done by units in the Ground arena (before damage prevention). | Each of your units gets "Foresight: Remove 1 damage counter from this unit."		TOR
Sith Dreadnaught	RO2	ROT058_Sith_Dreadnaught	D	Space	Dark Jedi - Sith Capital Ship	5	40	6	4	U	58		Bombard 4 | Pay 1 Force -> Retaliate 2		TOR
Valcyn (A)	RO2	ROT059_Valcyn_A	D	Space	Dark Jedi - Sith Transport	4	40	3	4	U	59		When Valcyn is discarded from the Space arena, you may choose one of your Sith in the Character arena. If you do, untap the chosen Sith if it is tapped. The chosen Sith gets +20 speed until end of turn.		TOR
Whiplash	RO2	ROT060_Whiplash	N	Battle						U	60		Pay 3 Force -> Discard all Equipment attached to one of your opponent's Characters. | Enhance: Pay 2 more Force -> Do 2 damage to that Character. This damage can only be prevented by a Jedi Master or Sith Lord.		TOR
Apatros Mining Colony	RO2	ROT061_Apatros_Mining_Colony	N	Location	Character - Apatros Mine	1				C	61		When your build step starts, if Darth Bane is in the Character arena, gain 1 build point. When the Character battle step ends, If you have only 2 units in the Character arena, gain 1 Force.		TOR
Call for Aid	RO2	ROT062_Call_for_Aid	L	Mission		2				C	62		Search your deck for a Space unit card, a Ground unit card, and a Character unit card, show them to your opponent, and put them into your hand. Shuffle your deck. 		TOR
Darovit (A)	RO2	ROT063_Darovit_A	L	Character	Force Sensitive Child	3	60	2	2	C	63		When there are 3 or more corruption counters on Darovit, your opponent gains control of Darovit until end of game. | Put 1 corruption counter on Darovit -> Darovit gets +1 power and Fury 3 for this attack. | Put 1 corruption counter on Darovit -> Attach a Lightsaber Weapon to Darovit without paying the equip cost.		TOR
Darth Bane's Flier (A)	RO2	ROT064_Darth_Bane_s_Flier_A	D	Ground	Dark Jedi - Sith Speeder	4	40	3	2	C	64		Tap, Pay 2 Force -> Search your deck for a Mission card, show it to your opponent, and put it into your hand. Shuffle your deck.		TOR
Darth Millennial (A)	RO2	ROT065_Darth_Millennial_A	D	Character	Independent Dark Jedi - Sith Cultist	3	30	1	3	C	65		As long as Darth Millennial is in your discard pile, each of your Sith Cultists in the Character arena gets +1 power, +1 health, and Accuracy -1. | Pay 1 Force -> Evade 3		TOR
Darth Rivan (A)	RO2	ROT066_Darth_Rivan_A	D	Character	Zelosian Dark Jedi Master - Sith Lord	4	40	4	3	C	66		When you deploy Rivan to the Character arena, gain 1 Force and look at your opponent's hand.		TOR
Death Dreams	RO2	ROT067_Death_Dreams	D	Battle						C	67		Pay 2 Force, discard a location with printed build cost X from any arena -> Put X damage counters on one of your opponent's units in that arena.		TOR
Death of a Rival	RO2	ROT068_Death_of_a_Rival	D	Battle						C	68		Pay X Force, discard a partially built Character unit card from your build zone ->  Put a partially build Character unit card with remaining build cost X into the Character arena untapped.		TOR
Dree Vandap (A)	RO2	ROT069_Dree_Vandap_A	L	Character	Rodian Old Republic Jedi Padawan	3	50	3	2	C	69		Pay 1 Force -> Dree gets +1 power and Precision for this attack. | Pay 3 Force -> Evade 2		TOR
Githany (A)	RO2	ROT070_Githany_A	D	Character	Dark Jedi - Sith Lord	4	60	4	3	C	70		Pay 1 Force -> Githany gets Critical Hit 2 for this attack. | Put 1 damage counter on one of your other Sith in the Character arena -> Evade 2		TOR
Hammerhead IV-Class Cruiser	RO2	ROT071_Hammerhead_IV_Class_Cruiser	L	Space	Old Republic Capital Ship - Cruiser	6	40	5	6	C	71		Shields 2		TOR
Hardin (A)	RO2	ROT072_Hardin_A	L	Character	Force Sensitive Child	4	50	2	2	C	72		When Hardin is discarded from the Character arena, you may gain control of a Character you lost control of earlier in the game. If you do, remove all corruption counters from that Character, and corruption counters can't be put on that Character until end of game.		TOR
Jedi Recruitment Transport	RO2	ROT074_Jedi_Recruitment_Transport	L	Space	Old Republic Jedi Transport	4	40	1	3	C	73		Tap -> Search your deck for up to 3 Force Sensitive Child unit cards, show them to your opponent, and put them into your build zone with 1 build counter on each of them. Shuffle your deck. Play only during your build step and only once per game. 		TOR
Jedi Recruits	RO2	ROT075_Jedi_Recruits	L	Ground	Force Sensitive Children - Jedi Padawan Squad	2	40	2	2	C	74		Lucky 2 | Pay 2 Force -> Evade 1		TOR
Jedi Defender	RO2	ROT073_Jedi_Defender	L	Character	Old Republic Jedi Knight	3	30	3	3	C	75		Armor | Pay 2 Force -> Evade 1		TOR
Kiel Charny (A)	RO2	ROT076_Kiel_Charny_A	L	Character	Old Republic Jedi Knight	5	50	5	5	C	76		As long as Githany is in the Character arena, Charny gets -10 speed and -1 power. | Pay 2 Force -> Evade 2		TOR
Kopecz (A)	RO2	ROT077_Kopecz_A	D	Character	Twi'lek Dark Jedi Master - Sith Lord	4	40	4	4	C	77		Kopecz gets Accuracy 1 when attacking a Jedi Knight or Jedi Padawan. | Pay 1 Force -> Evade 1		TOR
Lord Hoth's Lightsaber (B)	RO2	ROT078_Lord_Hoth_s_Lightsaber_B	L	Equipment	Character - Lightsaber Weapon	2				C	78		Pay 2 Force -> Equip | Equipped Jedi gets +1 power and +1 health. | Equipped Lord Hoth also gets "When Lord Hoth is discarded from the Character arena, roll a die. Gain Force equal to the number you roll."		TOR
Qordis (A)	RO2	ROT079_Qordis_A	D	Character	Dark Jedi Master - Sith Lord	6	30	3	5	C	79		Tap -> Put 1 build counter on up to 2 of your Force Sensitive Children or Sith Apprentices in your build zone. Play only during your build step.		TOR
Ruusan Battlefield	RO2	ROT080_Ruusan_Battlefield	N	Location	Space/Ground/Character - Ruusan Battlefield	2				C	80		Double all damage that would be done by units in this arena (before damage prevention).  		TOR
Sarro Xaj (A)	RO2	ROT081_Sarro_Xaj_A	L	Character	Old Republic Jedi Knight	5	40	4	4	C	81		Critical Hit 2 | Pay 2 Force -> Evade 1 | Pay 1 Force -> Intercept		TOR
Sith Assault Team	RO2	ROT082_Sith_Assault_Team	D	Ground	Dark Jedi - Sith Warrior Squad	4	40	4	3	C	82		Armor | Whenever this unit attacks, you may give it +4 power for that attack. If you do, this unit does 2 damage to itself when the attack ends.		TOR
Sith Buzzards	RO2	ROT084_Sith_Buzzards	D	Space/Ground	Dark Jedi - Sith Squadron	5	70	4	2	C	83		Fury 2 | Pay 2 Force -> Evade 2		TOR
Sith Flier Swarm	RO2	ROT085_Sith_Flier_Swarm	D	Ground	Dark Jedi - Sith Speeder Squad	6	60	6	4	C	84		Pay 3 Force -> Evade 2 | Pay 1 Force -> Intercept		TOR
Sith Interceptor Squadron	RO2	ROT086_Sith_Interceptor_Squadron	D	Space	Dark Jedi - Sith Squadron	3	60	3	2	C	85				TOR
Sith Ritual	RO2	ROT087_Sith_Ritual	D	Mission		4				C	86		This turn, whenever one of your Dark Jedi or Sith in the Character arena attacks, you may give it +5 power for that attack. If you do, that unit does 3 damage to itself when the attack ends.		TOR
Sith Trainees	RO2	ROT088_Sith_Trainees	D	Ground	Force Sensitive Child -Sith Apprentice Squad	2	40	2	2	C	87		Fury 2 | Pay 1 Force -> Retaliate 1		TOR
Sith Attacker	RO2	ROT083_Sith_Attacker	D	Character	Dark Jedi Knight - Sith Warrior	3	30	3	3	C	88		Armor | Pay 2 Force -> This unit gets Fury 2 for this attack.		TOR
Tank-Mounted Turret	RO2	ROT089_Tank_Mounted_Turret	D	Ground	Dark Jedi - Sith Fortification	6	40	6	4	C	89		Stun 2		TOR
Tears of a Child	RO2	ROT090_Tears_of_a_Child	N	Battle						C	90		Pay 2 Force -> Prevent up to 2 damage to one of your Force Sensitive Children. | Enhance: Pay 1 more Force -> Prevent all damage to that Force Sensitive Child instead.		TOR
