Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Kuat Drive Yards	TEN	EEpromo_Kuat_Drive_Yards	D	Location	Space - Imperial Facility	2				R			Each of your Imperial Capital Ships and Imperial Transports costs 1 less build counter to deploy and gets Hidden Cost 6		
Republic Observer	TEN	EEpromo_Republic_Observer	L	Ground	New Republic Soldier	4	50	3	3	R			"Whenever your opponent uses Hidden Cost to deploy a unit to any arena, you may draw a card. | Your opponent's units lose Stealth. | Pay 0 Force -> Intercept."		
A-Wing Slash	TEN	ERpromo_A_wing_Slash	L	Battle						R			"Pay 1 Force -> Each of your Squadrons gets +2 power, ""This unit gets Critical Hit 4 as long as General Garm Bel Iblis is in any arena."" and ""This unit gets Fury 2 as long as you have a Location in the Space arena."" until end of turn."		
Honoghr	TEN	ERpromo_Honoghr	N	Location	Ground - Noghri	2				R			"When your build step starts, you may search your deck for a Noghri unit card. If you do, show it to your opponent and put it into your hand. Shuffle your deck."		
Sith Legend	TEN	FOTRpromo_Sith_Legend	D	Mission		2				R			"Gain 1 Force for each Sith Character unit card in your discard pile. If Darth Plagueis is in your discard pile, you may pay 1 Force. If you do, search your deck for a Darth Sidious or Emperor Palpatine unit card, show it to your opponent, and put it into your hand. Then shuffle your deck."		CW
Subtleties of the Force	TEN	FOTRpromo_Subtleties_of_the_Force	D	Mission		1				R			"Gain 1 Force for each Jedi Character unit card in your opponent's discard pile. If you have Darth Sidious or Emperor Palpatine in the Character arena, gain 2 additional Force."		CW
Augie's Great Municipal Band (A)	TEN	IONpromo_Augie_s_Great_Municipal_Band_A	L	Ground	Naboo Gungan Musician - Entertainers	6	30	1	6	R			"When the Ground battle step ends, gain X Force, where X is the number of Naboo and Gungans you have in the Ground arena. | As long as you have a Gungan Diplomat or Gungan Officer in any arena, Augie's Great Municipal Band gets ""Upkeep: Remove up to 2 damage counters from one of your other Gungans in any arena."""		
Captain Tarpals (C)	TEN	IONpromo_Captain_Tarpals_C	L	Ground/Character	Gungan Officer	9	50	5	5	R			Switch: Inspiration/Accuracy 1 | Lucky 2 | Each of your Gungan Creatures gets +10 speed. | Each of your other Gungans in this arena gets Accuracy 1.		
Skywalker Twins (A)	TEN	JEDIpromo_Skywalker_Twins_A	L	Ground	Rebel Officer Squad - Jedi - Diplomat	8	50	6	6	R			"Stack: Luke Skywalker and Princess Leia | Lucky 2 | When the Ground battle step starts, gain X Force, where X is the number of cards in Skywalker Twins' stack. | Pay 1 Force -> Evade 2"		
Solo Twins (B)	TEN	JEDIpromo_Solo_Twins_B	L	Ground	Jedi Knight Squad	8	50	5	5	R			Stack: Jacen Solo and Jaina Solo | Critical Hit 1 | Lucky 1 | Parry 1 | Pay 1 Force -> Prevent up to 2 damage to Jacen Solo or Jaina Solo. | Pay 3 Force -> Retaliate 3		
Clan Vizsla (A)	TEN	MANDOpromo_Clan_Vizsla_A	D	Ground	Mandalorian - Death Watch	7	50	6	4	R			Stack: Any unique Death Watch Character. | Armor | Clan Vizsla gets +2 power and Fury 2 when attacking a Mandalorian or Republic unit.		
Sabine Wren (A)	TEN	MANDOpromo_Sabine_Wren_A	N	Character	Mandalorian Bounty Hunter	5	50	4	4	R			Armor | Stun 2 | Sabine gets +1 power and Critical Hit 2 when attacking an Imperial Officer or Stormtrooper		
Grand Army of the Republic	TEN	RAWpromo_Grand_Army_of_the_Republic_A	L	Space/Ground/Character	Republic Clone Army	14	20	10	10	R			"Switch: Bombard 7/Ion Cannon 10/Overkill | As long as you have 2 or more Jedi in any arena, Grand Army of the Republic gets Critical Hit 2, Elude, and ""Foresight: Gain 2 Force."" | Discard a card from your hand -> Grand Army of the Republic gets Accuracy 1 for this attack."		CW
Kill or Be Killed	TEN	RAWpromo_Kill_or_Be_Killed	N	Battle						R			"Pay 2 Force, discard a card from your hand -> Choose one of your Gladiators. That Gladiator gets Fury 9 and ""When this unit's attack ends, if the defending unit was not discarded during the attack, discard this unit."" until end of turn."		CW
Brotherhood of Darkness (B)	TEN	RO2promo_Brotherhood_of_Darkness_B	D	Ground	Dark Jedi - Sith Army	12	20	10	10	R			"Hidden Cost 7  | Whenever you play an activated ability, as long as you have a Sith Lord in the Character arena, you may pay 1 Force. If you do, draw a card. | Each of your opponent's Ground units with printed power less than its health gets -2 power."		TOR
Darth Tenebrous (A)	TEN	RO2promo_Darth_Tenebrous_A	D	Character	Sith Dark Jedi - Sith Master - Sith Lord	7	40	3	5	R			"Tap, Pay 5 Force -> Each of your Sith gets Critical Hit 1 and ""This unit can't be attacked unless it is tapped or has a damage counter on it."" until end of turn."		TOR
Bothan Males	TEN	RSpromo_Bothan_Males	N	Ground	Bothan Squad	6	40	5	5	R			"As long as you have another Bothan in any arena, this unit gets  +1 power, +1 health, Critical Hit 1, and Fury 1"		
Wraith Squadron (A)	TEN	RSpromo_Wraith_Squadron_A	L	Space	New Republic Squadron	7	50	5	4	R			Accuracy 1 | Critical Hit 1 | Fury 1 | Armor | Shields 1 | Stun 1		
Jabba's Sail Barge (B)	TEN	SAVpromo_Jabba_s_Sail_Barge_B	N	Ground	Hutt Crime Lord - Tatooine Speeder	6	20	3	5	R			"Tap -> Search your deck for a Crime Lord, Hutt, or Tatooine unit card, show it to your opponent, and put it into your hand. Shuffle your deck. | Tap, Remove 2 counters from your Resource -> Draw 2 cards."		
Jawa Mining Operation	TEN	SAVpromo_Jawa_Mining_Operation	N	Resource		4				R			"Each of your Jawas gets ""Bounty: Gain 1 build point"". | Add 1 counter -> Each of your Jawas gets Stun 2 and ""This unit gets Accuracy 2 when attacking a Droid."" until end of turn. | Remove 5 counters -> Each of your Jawas costs 1 less build counter to deploy until end of turn."		
Darth Nihilus (B)	TEN	SITHpromo_Darth_Nihilus_B	D	Character	Dark Jedi Master - Sith Lord	8	40	7	4	R			"Whenever you put a card from your discard pile into your hand, gain 2 Force. | Pay X Force -> Evade X."		TOR
Darth Plagueis (A)	TEN	SITHpromo_Darth_Plagueis_A	D	Character	Muun Dark Jedi - Sith Master - Sith Lord	8	40	5	7	R			Tap -> Choose a Character unit card in your discard pile and put that card into your hand. Play only if your Force total is 4 or more. | Pay 1 Force -> Deflect 2		
Corellian HT-2200 Freighter	TEN	SMUGpromo_Corellian_HT_2200_Freighter	N	Space	Smuggler Transport	4	10	1	6	R			Pay X build points -> Put X credit counters on this unit. | Tap -> Gain build points equal to the number of credit counters on this unit. Then remove all credit counters from this unit. Play only during your build step.		
Salacious B. Crumb (B)	TEN	SMUGpromo_Salacious_B_Crumb_B	N	Character	Tatooine Howakian Monkey-Lizard	3	30	1	1	R			"When the build step starts, choose one of your opponent's units and a type of counter. You can make your opponent add or remove one of those counters from his or her unit. Play only if that unit has the chosen counter on it and only if you have Jabba the Hutt in the Character arena."		
Nelvaan Markings	TEN	SOpromo_Nelvaan_Markings	L	Equipment	Character - Skill	1				R			"Pay 1 Force -> Equip | Equipped Jedi gets +1 health and ""Treat this Jedi as a Nelvaan Warrior."" | Equipped Anakin Skywalker also gets +10 speed, +1 power, and ""Whenever you search your deck for a card, gain 1 Force"""		
Orvos (B)	TEN	SOpromo_Orvos_B	L	Character	Nelvaan Mystic	3	30	0	3	R			"Reserves: Tap -> Each player searches his or her deck or discard pile for a unit card and reveals it. The player whose unit card has the lowest build cost puts that card into the build zone with 2 build counters on it. The other player adds his or her unit card into his or her hand. In a tie, both players add the revealed card to his or her hand. Each player shuffles his or her deck. Play only during your build step."		
Alliance High Command (A)	TEN	TDTpromo_Alliance_High_Command_A	L	Ground	Rebel Officer Squad - Diplomat	8	40	4	4	R			Stack: Any unique Rebel Officer. | Inspiration | Each of your Rebels costs 1 less build counter to deploy. | Tap -> Each of your Rebels gets +2 power when attacking an Imperial until end of turn.		
True Power of the Empire	TEN	TDTpromo_True_Power_of_the_Empire	D	Resource		6				R			"When your build step starts, if you have Darth Vader and Emperor Palpatine in the Character arena, and all of your opponent's units in each arena have captivity counters on them, you win the game. | Add 1 counter -> Put 1 captivity counter on one of your opponent's units in any arena. Play only during your build step."		
Shan Family (A)	TEN	TORpromo_Shan_Family_A	L	Ground	Old Republic Officer Squad - Jedi Master - Spy	8	60	6	4	R			"Stack: Satele Shan and Theron Shan. | Foresight: Gain 4 Force. | As long as Bastile Shan or Jace Malcom is in any arena, Shan Family gets Accuracy 2. | Pay 2 Force -> Evade 4"		TOR
Slicer	TEN	TORpromo_Slicer	N	Character	Independent Agent	5	80	1	4	R			"Tap -> Search your deck for a non-unit card, show it to your opponent, and put it into your hand. Shuffle your deck. | Tap -> Disrupt the deployment of a unit to a stack. | Tap -> Disrupt a Battle or Mission card."		TOR
