Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
T0-B1 (A)	VVI	VVI26_T0_B1_A	L	Character	Droid Jedi Padawan	4	70	2	2	C	26		Upkeep: Put 1 mastery counter on T0-B1 | Deploy: Search your deck for a Location card and put it face-down beneath T0-B1. | When T0-B1 has 2 or more mastery counters on him, take 1 face-down Location card from beneath T0-B1 and put it into its arena. | Pay 1 Force -> Evade 2 		
TIE Reaper	VVI	VVI27_TIE_Reaper	D	Space	Imperial Dark Jedi Inquisitor Starfighter Transport	4	40	3	3	C	27		Hidden Cost 3 | Deploy: Search your deck for a unit card, reveal it, and put it into your hand. Shuffle your deck. | Shields 1 | Pay 2 Force -> Ambush 4		
Tatooine Rhapsody	VVI	VVI28_Tatooine_Rhapsody	N	Resource		3				C	28		Add 2 counters -> One of your Entertainers gets Lucky 2 until end of turn. | Remove 2 counters -> Search your deck for an Entertainer or Tatooine unit card, reveal it, and put it into your hand. Shuffle your deck. Play only during your build step. | Remove 6 counters -> Each of your Entertainers, Musicians, and Tatooine units gets +2 power and Precision until end of turn.		
The Rolling Gales (A)	VVI	VVI29_The_Rolling_Gales_A	N	Space	Jedi Entertainer Musician Transport	4	50	2	4	C	29		Each of your Entertainers costs 1 less build counter/point to deploy or put into play and each gets Velocity 20.		
Village Raiders	VVI	VVI30_Village_Raiders	N	Ground	Pirate Droid Squad	3	50	3	2	C	30		Deploy: Take 1 50/2/1 Droid Raider Subordinate with &Critical Hit 1& and put it into the Ground or Character arena. | Return one of your Pirate Subordinates to your supply -> Remove all counters from a Resource.		
Gemini-class Star Destroyer	VVI	VVIpromo_Gemini_class_Star_Destroyer	D	Space	Imperial Remnant Dark Jedi Capital Ship	11	30	6	7	P			Deploy: Take 1 Gemini-class Star Destroyer from outside the game and put it into the Space arena. | Shields 1 | When this unit is discarded or removed from the game, discard a Gemini-class Star Destroyer. | [Tap], Pay 8 Force -> Do 3 damage to each unit in the Ground arena. Play only when this unit would attack		
Jedi Master and Apprentice (P)	VVI	VVIpromo_Jedi_Master_and_Apprentice_P	L	Ground/Character	Jedi Explorer Squad	5	50	4	4	P			Deploy: Reveal a card in your opponent's build zone. | Whenever one of your Location cards is discarded from your hand, any arena, or put into your discard pile from your deck, draw a card. | Pay 2 Force -> Evade 2		
Lop (A)	VVI	VVIpromo_Lop_A	L	Character	Lepi Force Sensitive	5	60	3	4	P			When you deploy Lop or when your first build step starts take 1 40/1/2 TD-4 (A) Subordinate with &[Tap] -> The attacking Character gets Accuracy -1 until end of turn.& and put it into the Character arena. | Critical Hit 1 | Pay 1 Force -> Evade 2, and put 1 redemption counter on the attacking unit. 		
Margrave Juro (A)	VVI	VVIpromo_Margrave_Juro_A	L	Character	Jedi Master	10	60	6	5	P			Hidden Cost 8 | Deploy: When one of your opponent's units uses a Force-activated ability this turn, disrupt it. | Focus 2 | Pay 2 Force -> Absorb 2		
The Ronin (A)	VVI	VVIpromo_The_Ronin_A	N	Character	Independent Dark Jedi - Sith Master	10	50	6	6	P			Bounty: Gain 1 build point. If the discarded unit was a Sith or Dark Jedi gain 2 build points instead. | Focus 3 | Parry 2 | Pay 3 Force -> Disrupt an attack against The Ronin. Play only once per turn and if your opponent has 2 or more units in the Character arena. 		
Droid Raider	VVI	VVIsub_Droid_Raider	N	Subordinate	Ground/Character - Pirate Droid		50	2	1	S			Critical Hit 1		
Geezer Odajion (A)	VVI	VVIsub_Geezer_Odajion_A	N	Subordinate	Character - Hutt Musician Entertainer		30	1	3	S			[Tap] -> Add 2 counters to your Resource. 		
ISB Detachment	VVI	VVIsub_ISB_Detachment	D	Subordinate	Ground - Imperial Stormtrooper Agent Squad		40	3	3	S			Accuracy 1 | Pay 1 Force -> Protect 1 		
Jay Tsokee (A)	VVI	VVIsub_Jay_Tsokee_A	N	Subordinate	Character - Jedi Padawan Musician Entertainer		40	2	2	S			Pay 2 Force -> Evade 2 or Protect 2 		
K-344 (A)	VVI	VVIsub_K_344_A	N	Subordinate	Character - Droid Musician Entertainer		40	2	2	S			Double Strike		
Lan Ar-Shoo (A)	VVI	VVIsub_Lan_Ar_Shoo_A	N	Subordinate	Ground/Character - Musician Entertainer		30	2	2	S			Switch: Critical Hit 2/Riposte 2		
Sith Pirate	VVI	VVIsub_Sith_Pirate	D	Subordinate	Character - Rebel Sith Pirate		50	2	2	S			Critical Hit 1 Fury 1		
TD-4 (A)	VVI	VVIsub_TD_4_A	L	Subordinate	Character - Droid		40	1	2	S			[Tap] -> The attacking Character gets Accuracy -1 until end of turn.		
V-5 (A)	VVI	VVIsub_V_5_A	N	Subordinate	Character - Droid Musician Entertainer		40	2	2	S			 Each of your Entertainers gets Focus 1.		
Village Bride	VVI	VVIsub_Village_Bride	L	Subordinate	Ground/Charcter - Farmer Villager		50	1	2	S			Parry 1		
