Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification	DraftRarity
Elite	LOTA	LOTA13_Elite	D	Equipment	Space/Ground/Character - Trait	2				U	13		When you deploy a non-unique unit, attach this trait to that unit. | Equipped non-unique unit without "Elite" in its name gets +10 speed, +2 power, +2 health, Critical Hit 1, and "When determining the total or printed build cost of this unit, treat it as if it were 2 higher."		LOTA	
Hunting Nexu	LOTA	LOTA14_Hunting_Nexu	D	Character	Nexu Creature	5	50	4	3	U	14		Hidden Cost 4 | Consume | Whenever this unit damages a unit without Upkeep, that unit gets "Upkeep: Put 1 damage counter on this unit or tap this unit to lose this Upkeep until end of game." until it is discarded.		LOTA	
ISB Infiltrators	LOTA	LOTA15_ISB_Infiltrators	D	Character	Imperial Agent Squad	5	40	4	4	U	15		Stealth | Each of your opponent's Rebel Characters gets -1 power. | Tap -> Your opponent discards a card at random from their hand.		LOTA	
Primed Probe Droid	LOTA	LOTA16_Primed_Probe_Droid	D	Character	Imperial Droid	3	60	1	4	U	16		Critical Hit 1 | Stun 1 | Discard this unit -> Roll a die. Deal X damage to each of up to two of your opponent's units in this arena, where X is half the die roll, rounded down. Play only when the Character battle step ends.		LOTA	
Radiant Holocron	LOTA	LOTA17_Radiant_Holocron	L	Equipment	Character - Device	2				U	17		Remove a Jedi Character card from your discard pile from the game  -> Equip | Equipped Jedi Padawan gets "Upkeep: Gain 1 Force." | Equipped Jedi Knight or Jedi Master gets "Upkeep: Gain 2 Force." instead.		LOTA	
Ravenous Wampa	LOTA	LOTA18_Ravenous_Wampa	D	Character	Hoth Arctic Wampa Creature	6	10	6	7	U	18		Critical Hit 1 | Consume | This unit gets +10 speed for each damage counter on it.		LOTA	
SC2-M Repulsor Tank	LOTA	LOTA19_SC2_M_Repulsor_Tank	D	Character	Arctic Imperial Tank - Vehicle	9	50	3	7	U	19		Critical Hit 1 | Armor | Double Strike | Overkill		LOTA	
Trandoshan Hunter {LOTA}	LOTA	LOTA20_Trandoshan_Bounty_Hunter	D	Character	Trandoshan Bounty Hunter	3	50	2	3	U	20		Critical Hit 1 | Tenacity 2		LOTA	
A-12 Sniper Rifle	LOTA	LOTA21_A_12_Sniper_Rifle	N	Equipment	Character - Blaster Weapon	2				C	21		Pay 2 Force -> Equip | Equipped Character gets +2 power and "When this unit attacks, the defending unit loses Parry and Riposte for that attack." | Equipped Agent or Soldier also gets Accuracy 1.		LOTA	
DXR-6 Disruptor Rifle	LOTA	LOTA22_DXR_6_Disruptor_Rifle	N	Equipment	Character - Blaster Weapon	2				C	22		Pay 1 build points -> Equip | Equipped unit can only have one DXR-6 Risruptor Rifle attached to it. | Equipped Character gets Accuracy -3 and Critical Hit 5.		LOTA	
Heart of the Empire {LOTA}	LOTA	LOTA23_Heart_of_the_Empire	N	Location	Character - Imperial Coruscant	0				C	23		Each Imperial and Rebel gets "Pay 1 Force -> Redirect." | Each Agent and Spy gets Focus 2 and Precision.		LOTA	
Jabba's Realm	LOTA	LOTA24_Jabba_s_Realm	N	Location	Character - Tatooine	4				C	24		Each Bounty Hunter, Crime Gang, Crime Lord, Pirate, and Smuggler gets +10 speed, +1 power, and +1 health.		LOTA	
Return to Hoth	LOTA	LOTA25_Return_to_Hoth	N	Mission		2				C	25		Return a Location card from your discard pile to your build zone, then choose one: Put X build counters on it, where X is its build cost. Or: Do 4 dice of damage to each non-Arctic unit in an arena of your choice matching the Location's subtype, then remove that Location from the game.		LOTA	
The Bespin Gambit	LOTA	LOTA26_The_Bespin_Gambit	N	Battle						C	26		One of your attacking units gets +1 power and Accuracy 1 for this attack. If the defending unit is not discarded as a result of the attack, each of your opponent's units gets +1 power and Accuracy 1 when attacking your unit until end of turn.		LOTA	
Tools for the Job	LOTA	LOTA27_Tools_for_the_Job	N	Mission		1				C	27		Search your deck for up to three Equipment cards with different names and reveal them. Your opponent chooses one to discard. Put the remaining cards into your hand.		LOTA	
Twin Shadows	LOTA	LOTA28_Twin_Shadows	N	Event						C	28		Whenever a Last Stand ability triggers, its controller may pay 2 Force. If they do, they gain the effect of that ability a second time. | The first two units that are discarded during the battle phase each turn get "Last Stand: Draw a card, then discard a card from your hand."		LOTA	
Tyrants of Lothal	LOTA	LOTA29_Tyrants_of_Lothal	N	Mission - Campaign		1				C	29		When each turn ends, if damage from your Rebels or Imperials caused 3 or more of your opponent's units to be discarded this turn, you gain 3 build points when the next roll for build points is made.		LOTA	
Vibro Knucklers	LOTA	LOTA30_Vibro_Knucklers	N	Equipment	Character - Melee Weapon	1				C	30		Pay 1 Force -> Equip | Equipped unit can have up to two Vibro Knucklers equipped. | Equipped Character gets "Adapt: Parry 1/Riposte 1."		LOTA	
J4X-7 (A)	LOTA	LOTAsub_J4X_7_A	L	Subordinate			60	1	2	S	[number]		INSERT: Riposte 1		LOTA	
