Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	
Luke Skywalker (K)	ESB	Luke_Skywalker_K	L	Character	Rebel Officer Jedi Padawan	5	60	5	4	R	39	Text erratum | If Luke is in any other zone than the Ground arena, Luke does not get put into the Character arena.	Pay 3 Force -> Evade 2 | [Pilot] Speeder Pilot. The Speeder gets: * +10 speed. * Accuracy 1. * When this Speeder is discarded from the Ground arena, move Luke from it to the Ground arena untapped. Treat Luke as a Ground unit until the Ground battle step ends. When the Ground battle step ends, if Luke is in the Ground arena, put Luke into the Character arena, untapped.	
Luke's Snowspeeder (A)	ESB	Lukes_Snowspeeder_A	L	Ground	Rebel Speeder	4	60	4	3	R	40		When Luke's Snowspeeder is discarded from the Ground arena, you lose 4 Force. | Pay 2 Force -> Evade 2	
Luke's Wrath	ESB	Lukes_Wrath	L	Battle						R	41		Pay 1 Force -> Luke Skywalker gets Accuracy 1 until end of turn. | Enhance: Pay 1 more Force -> He gets Accuracy 2 until end of turn, instead.	
Luke's X-Wing (C)	ESB	Lukes_X_Wing_C	L	Space	Rebel Starfighter	5	60	3	3	R	42		Accuracy 1 | Critical Hit 1 | Shields 1 | Pay 1 Force -> Evade 1	
Major Bren Derlin (A)	ESB	Major_Bren_Derlin_A	L	Character	Rebel Officer	5	30	4	4	R	43		[tap] -> Each of your Ground units get Armor until end of turn. Play only when no unit is attacking.	
Mara Jade (A)	ESB	Mara_Jade_A	D	Character	Imperial Agent	5	50	5	4	R	44		Treat Mara as a Dark Jedi. | When the Character battle step ends, remove all damage counters from Mara. Your opponent loses that much Force. | Pay 2 Force -> Evade 1	
Millennium Falcon (E)	ESB	Millennium_Falcon_E	L	Space	Rebel Transport	6	60	5	5	R	45		The Millennium Falcon can have an extra Pilot. | The Millennium Falcon can't retreat. | The Millennium Falcon may attack a unit in the Character arena instead of a unit in the Space arena.	
Millennium Falcon (F)	ESB	Millennium_Falcon_F	L	Space	Rebel Transport	6	60	5	5	R	46	If your Characters can't retreat, the Falcon will not stay tapped. | You can use the Millennium Falcon (F)'s ability whenever one of your Characters would be damaged and discarded. While the "does not untap" clauses do stack up, one turn of not untapping satisfies them all. | Attack dice rolled secretly can still be prevented by the Millennium Falcon (F)'s static damage prevention ability, due to the time when its effect is allowed to occur. (You simply don't know the result until the dice roll is revealed.) Declare your intention to use it during the damage prevention POP, and then retreat the Character if you find out after the dice are revealed if it would be discarded. | You can't use the Falcon's ability when Painful Reckoning is in play if the damage done before Painful Reckoning is applied would not cause the unit to be discarded. The Falcon (F)'s ability is a static replacement effect. It happens at the end of the Play or Pass damage prevention step (i.e., everyone is done playing damage prevention effects). It will only kick in if the incoming damage is greater than the unit's remaining health. So in this case, with only 3 incoming damage, the Falcon's effect cannot be invoked. Painful Reckoning is also a replacement effect. However, it replaces the actual placement of damage counters�in this case, replacing the placement of 3 damage counters with the placement of the original 3, plus 3 extra counters, or 6 counters total.	The Millennium Falcon can have an extra Pilot. | If one of your Characters would be damaged and discarded from any arena or your build zone, you may prevent that damage and retreat that Character instead. If you do, the Millennium Falcon doesn't untap during your next untap step.	
Millennium Falcon (G)	ESB	Millennium_Falcon_G	L	Space	Rebel Transport	6	50	5	4	R	47		The Millennium Falcon can have an extra Pilot. When the Millennium Falcon would be damaged, roll one of your dice. If you roll 1 or 2, prevent that damage. | Accuracy 1	
Obi-Wan's Spirit (A)	ESB	Obi_Wans_Spirit_A	L	Character	Jedi Spirit	5	40	0	2	R	48	You may have Obi-Wan's Spirit in the arena at the same time as Obi-Wan Kenobi. They do not stack. | Obi-Wan's Spirit still counts as a Jedi Character unit and may be targeted by effects that target units.	Obi Wan's Spirit doesn't count towards controlling the Character arena. | Prevent all damage to and from Obi Wan's Spirit. | Each of your Jedi Character's activated abilities costs 1 less Force to play. Abilities that cost 1 or more Force can't cost less than 1 Force.	
Occupation	ESB	Occupation	D	Battle						R	49		Pay 2 Force -> Choose a location in any arena. Until end of turn, that Location has no effect.	
Parting of Heroes	ESB	Parting_of_Heroes	L	Mission		5				R	50		Reveal cards from the top of your deck until you reveal 2 Character cards with different names. Your opponent chooses one of those cards. Put it face down in your build zone with 6 build counters on it. Discard the rest.	
Planetary Ion Cannon	ESB	Planetary_Ion_Cannon	L	Ground	Rebel Fortification	8	10	0	12	R	51		Ion Cannon 10	
Princess Leia (G)	ESB	Princess_Leia_G	L	Character	Rebel Diplomat	5	50	4	4	R	52	Leia's damage prevention ability does not work while she is piloting. | When the roll for build points is made, the ability granted to the Transport has no effect.	Whenever one of your Smugglers would be damaged, you may prevent that damage. If you do, put 1 damage counter on Leia. | [Pilot] Transport Pilot. The Transport gets "When the roll for build points is made, you gain +3 build points this turn."	
Quest for Truth	ESB	Quest_for_Truth	N	Mission		3				R	53	Text erratum	Look at your opponent's hand and set aside all Battle cards from it. This turn, you may play one of those cards as if it were in your hand, paying the cost (if any), then discard it. When the turn ends, return the rest of those cards to your opponent's hand.	
R2-D2 (G)	ESB	R2_D2_G	L	Character	Rebel Astromech Droid	3	20	1	3	R	54		Each of your units in the Space arena gets +20 speed.	
R2-D2's Heroism	ESB	R2_D2s_Heroism	L	Battle						R	55	Emperor's Bidding has no effect if R2-D2's Heroism was played this turn. | If any of those units can't retreat, R2-D2's Heroism has no effect.	Pay 2 Force, Discard R2-D2 from any arena -> Retreat all of your units. You can't lose the game this turn.	
Rally the Defenders	ESB	Rally_the_Defenders	L	Mission		4				R	56	This card affects only units that have a printed cost of 2 or less.	This turn, you may deploy units with build cost 2 or less without paying their build costs.	
Sacrifice	ESB	Sacrifice	D	Battle						R	57		Discard one of your units from any arena -> Disrupt a Battle card with a printed Force cost of 4 or less Force.	
Search for the Rebels	ESB	Search_for_the_Rebels	D	Mission		2				R	58		Search your opponent's deck for up to 3 Location cards and discard them. Your opponent then shuffles his or her deck.	
Stormtrooper Swarm	ESB	Stormtrooper_Swarm	D	Battle						R	59		Pay 9 Force -> Each of your Stormtroopers gets +X power until end of turn, where X is the number of Stormtroopers in all arenas.	
Streets of Cloud City	ESB	Streets_of_Cloud_City	N	Location	Ground	1				R	60	The order of the battle steps becomes: Ground -> Space -> Character.	Fight the Ground battle before the Space battle.	
Toryn Farr (A)	ESB	Toryn_Farr_A	L	Character	Rebel Officer	3	40	2	2	R	61		Toryn can't retreat during your retreat step. | Pay 1 Force -> One of your Rebel units gets +10 speed until end of turn. You may play this ability any number of times each turn.	
Vader's Imperial Shuttle (A)	ESB	Vaders_Imperial_Shuttle_A	D	Space	Imperial Transport	4	40	3	3	R	62		[tap] -> Search your deck. You may take a Darth Vader card from your deck, show it to your opponent, and put it into your hand. Then shuffle your deck. Play only during your build step.	
Wampa Cave	ESB	Wampa_Cave	N	Location	Character	1				R	63	The Creature unit card must first be put face down in the build zone.	Each of your creatures costs 1 less build counter to deploy.	
Wedge Antilles (B)	ESB	Wedge_Antilles_B	L	Character	Rebel Officer	5	50	4	4	R	64		[Pilot] Speeder Pilot. The Speeder gets: * +20 speed. * +2 power. * Accuracy 1. * When this Speeder would be damaged, prevent 2 of that damage.	
Wedge's Snowspeeder (A)	ESB	Wedges_Snowspeeder_A	L	Ground	Rebel Speeder	6	60	3	3	R	65		When Wedge's Snowspeeder damages another unit, until end of turn, each of your other units in the Ground arena gets Accuracy 3 as long as they're attacking that unit.	
Yoda (F)	ESB	Yoda_F	L	Character	Jedi Master	5	30	4	4	R	66		[tap] -> A Battle card disrupt, unless 2 Force your opponent pays. | 3 Force Pay -> Evade 3	
Yoda (G)	ESB	Yoda_G	L	Character	Jedi Master	3	10	1	1	R	67	You may have multiple copies of Yoda (G) stacked on different Padawns. | Other versions of Yoda can be played legally while Yoda (G) is stacked beneath a Jedi Padawan. | Yoda (G) can't leave the stack once stacked. | Yoda's ability is not in effect during setup (as with all cards). If you play it during setup, you spend 3 for a Yoda that can't be stacked with a padawan.	When Yoda you deploy, under any Jedi Padawan, one copy of Yoda stack you can. On top of that stack, Yoda can't be. 1 extra card in it, the stack can have. Count as Yoda this card does not while stacked under a Padawan.	
Yoda (H)	ESB	Yoda_H	L	Character	Jedi Master	6	30	4	4	R	68	Text erratum | You get the Force point each time damage prevention is used, not just once for each opportunity.	Whenever damage to one of your units you prevent, 1 Force you gain. | 3 Force pay -> Evade 2	
Yoda's Training	ESB	Yodas_Training	L	Mission		4				R	69	Any card drawn from the deck using this card must go into the stack.	Choose one of your Jedi Characters in any arena. Search your deck. You may take up to 3 cards with the same name as that Character from your deck and stack them under the Character (Follow normal stacking rules). Then shuffle your deck.	
Zev Senesca (A)	ESB	Zev_Senesca_A	L	Character	Rebel Officer	4	50	3	3	R	70		Pay 3 Force -> Return a Character card from your discard pile to your hand. Play only if no unit is attacking. | [Pilot] Speeder Pilot. The Speeder gets +10 speed.	
3,720 to 1	ESB	3720_to_1	N	Battle						U	71		Choose one of your units and roll one of your dice. If you roll 1, 2, 3, 4, or 5, nothing happens. If you roll 6, that unit gets +60 speed and +6 power until end of turn.	
Admiral Firmus Piett (A)	ESB	Admiral_Firmus_Piett_A	D	Character	Imperial Officer	4	40	4	3	U	72		Discard one of your Imperial units from any arena -> Search your deck. You may take an Admiral Firmus Piett card from you deck, show it to your opponent, and put it into your hand. Then shuffle your deck. Play only during your build step. | [Pilot] Capital Ship Pilot. The Capital Ship gets +20 speed.	
Admiral Kendal Ozzel (A)	ESB	Admiral_Kendal_Ozzel_A	D	Character	Imperial Officer	4	40	4	4	U	73		Each of your units in the Space arena gets -2 power and Accuracy 1.	
Outmaneuver Them	ESB	Outmaneuver_Them	L	Battle						U	74		Pay 2 Force -> Choose one of your Space or Ground units. This turn, whenever that unit would be damaged, prevent 1 of that damage. | Enhance: Pay 3 more Force -> This turn, whenever that unit would be damaged, prevent up to 2 of that damage instead.	
All Terrain Troop Transport	ESB	All_Terrain_Troop_Transport	D	Ground	Imperial Assault Walker	8	20	4	5	U	75		Armor | [tap] -> Put a Stormtrooper card with build cost 4 or less from your hand into the Ground or Character arena. This unit doesn't untap during your next untap step.	
Anti-Infantry Laser Battery	ESB	Anti_Infantry_Laser_Battery	L	Ground	Rebel Fortification	3	10	1	3	U	76		As long as this unit is attacking a Squad, it gets +4 power. | Armor	
Asteroid Field	ESB	Asteroid_Field	N	Location	Space	1				U	77	There is one total damage prevention play or pass chance, then one total damage placement POP, and then one total unit discard POP, not one for each unit. The controller of Asteroid Field chooses the order of damage prevention.	When the Space battle step starts, Asteroid Field does 2 dice of damage to each unit in the Space arena.	
AT-AT Driver	ESB	AT_AT_Driver	D	Character	Imperial Soldier	3	30	3	3	U	78		[Pilot] Walker Pilot. The Walker gets: * +20 speed. * Pay 1 Force -> Retaliate 3.	
Blizzard Force AT-ST	ESB	Blizzard_Force_AT_ST	D	Ground	Imperial Assault Walker	3	40	2	3	U	79	If this unit can't attack or there are no units to attack, you must tap it in its speed order and you can't search for a Location card.	When this unit attacks one of your opponent's units, search your deck. You may take a location card from your deck, show it to your opponent, and put it into your hand. Then shuffle your deck.	
Battle the Wampa	ESB	Battle_the_Wampa	N	Battle						U	80		Pay 1 Force -> The attacking unit gets +3 power and Critical Hit 3 for this attack. Play only when one of your units is attacking a creature.	
Cloud City Penthouse	ESB	Cloud_City_Penthouse	L	Location	Character	1				U	81		Each Character costs 1 fewer build counter to deploy.	
Cloud City Prison	ESB	Cloud_City_Prison	D	Location	Character	1				U	82		When each turn ends, each player loses all of his or her Force.	
Bespin Twin-Pod Cloud Car	ESB	Bespin_Twin_Pod_Cloud_Car	N	Ground	Bespin Speeder	2	50	3	3	U	83		When the Ground battle step starts, your opponent may pay 2 Force. If he or she does, tap this unit. | Accuracy 1	
Blockade	ESB	Blockade	D	Mission		1				U	84		Remove all build counters from a face-down card in your opponent's build zone and discard it. Your opponent gains that many build points.	
Bright Hope (A)	ESB	Bright_Hope_A	L	Space	Rebel Transport	5	30	2	5	U	85	You must reveal the card underneath Bright Hope at the end of the game to prove that it was a Ground unit (assuming it was not built during play). | If you have Bright Hope with a Ground card under it, then play Refit on Yavin on the Bright Hope, the card stays removed and has no effect afterward.	When you finish building Bright Hope, you may put a Ground card from your hand face down under it. If Bright Hope is discarded from the Space arena, put that Ground card face down in your build zone with 5 build counters on it.	
C-3PO (F)	ESB	C_3PO_F	L	Character	Rebel Protocol Droid	2	30	1	2	U	86		Whenever your opponent draws a card, he or she must show that card to you.	
Change in Destiny	ESB	Change_in_Destiny	N	Battle						U	87		Pay 4 Force -> Disrupt a Battle card.	
Chewbacca (F)	ESB	Chewbacca_F	L	Character	Rebel Wookiee	7	40	5	7	R	88		Pay 1 Force -> Retaliate 3 | [Pilot] Transport Pilot. The Transport gets: * Accuracy 1 * Pay 1 Force -> Retaliate 3	
Darth Vader (G)	ESB	Darth_Vader_G	D	Character	Imperial Dark Jedi Knight - Sith Lord	7	50	5	5	U	89		Pay 3 Force -> Evade 3 | [tap] -> Disrupt a Battle card, unless its controller pays 2 Force.	
Darth Vader (K)	ESB	Darth_Vader_K	D	Character	Imperial Dark Jedi Knight - Sith Lord	10	50	6	6	U	90		Armor | Pay 2 Force -> Vader gets +2 power and Stun 2 for this attack. | Pay X Force -> Evade X	
Death Mark	ESB	Death_Mark	D	Mission		1				U	91		When the battle phase starts, choose one of your opponent's units in any arena. If that unit is discarded, you gain 4 build points when your next build step starts.	
Derek Hobbie Klivian (A)	ESB	Derek_Hobbie_Klivian_A	L	Character	Rebel Officer	3	40	2	1	U	92		[Pilot] Speeder Pilot. The Speeder gets +10 speed and +1 power.	
Don't Get All Mushy	ESB	Dont_Get_All_Mushy	L	Battle						U	93	The phrase "anytime any of those abilities could be played" refers to the play point for the abilities in general (including during the build step), not for the particular instance of the ability on the designated units. For example, if Instill Doubt is played on Chewbacca (A), then Chewbacca (A) can't activate Retaliate. However, at the point in the game sequence when Retaliate could be played, Don't Get All Mushy could be played to give Chewbacca's Retaliate ability to another unit.	Pay 2 Force -> Two of your Characters get each other's activated abilities in addition to their own until end of turn. You may play this card anytime any of those abilities could be played.	
Dragonsnake	ESB	Dragonsnake	N	Ground	Dagobah Creature	4	40	3	3	U	94		[tap] -> Choose a player. That player puts the top 4 cards from his or her deck into his or her discard pile. Play only during your build step or when this unit would attack.	
Emergency Repairs	ESB	Emergency_Repairs	N	Battle						U	95		Pay 1 Force, Discard your hand -> Prevent all damage to one of your units.	
Carbon Freeze	ESB	Carbon_Freeze	D	Mission		2				U	96		Choose one of your opponent's untapped Characters in any arena or his or her build zone. Unless your opponent pays 3 Force, tap that Character and that Character doesn't untap during your opponent's next untap step.	
Executor Bridge	ESB	Executor_Bridge	D	Location	Character	1				U	97		Each of your Pilots costs 2 fewer build counters to deploy.	
Executor Hangar	ESB	Executor_Hangar	D	Location	Character	1				U	98		When the Character battle step starts, you may move any number of your Pilots from units in the Space arena to the Character arena. Untap those Pilots.	
Quicker, Easier, More Seductive	ESB	Quicker_Easier_More_Seductive	D	Mission		1				U	99		Total both player's Force. Each player loses all of his or her Force, then gains half of the total. If the total was odd, you gain the extra 1 Force.	
General Maximilian Veers (A)	ESB	General_Maximilian_Veers_A	D	Character	Imperial Officer	4	30	3	4	U	100		[Pilot] Walker Pilot. The Walker gets: * +10 speed. * +2 power. * When you roll this unit's attack dice, you may reroll any number of those dice once.	
Han Enchained	ESB	Han_Enchained	N	Mission		2				U	101	Han Enchained is compatible with Tyranus's Edict	One of your units can't attack or be attacked this turn.	
Han Solo (F)	ESB	Han_Solo_F	L	Character	Rebel Smuggler	5	40	5	5	U	102		When Han attacks, each player rolls one of his or her dice. the player who rolls higher gains 2 Force. If it's a tie, you gain 4 Force. | Accuracy 1	
Hoth Icefields	ESB	Hoth_Icefields	N	Location	Ground	1				U	103	All dice are rolled in the order the controller of the card chooses. There is one total damage prevention play or pass chance, then one total damage placement POP, and then one total unit discard POP, not one for each unit.	When the Ground battle step starts, Hoth Icefields does 2 dice of damage to each unit in the Ground arena.	
Imperial Fleet	ESB	Imperial_Fleet	D	Space	Imperial Fleet	13	10	10	10	U	104		Pay any number of build points -> Remove that many damage counter from this unit. Play only during your build step.	
Imperial Misdirection	ESB	Imperial_Misdirection	D	Battle						U	105		Pay 2 Force -> Choose a unit in any arena. Move all damage counters from that unit to another of that player's units in that arena.	
Jungles of Dagobah	ESB	Jungles_of_Dagobah	N	Location	Ground	1				U	106		Each non-Creature Ground unit gets -20 speed.	
Lambda-Class Shuttle	ESB	Lambda_Class_Shuttle	D	Space	Imperial Transport	4	40	3	3	U	107		Pay 0 Force -> Move one of your Pilots from one of your units in the Space arena to another. Play only if no unit is attacking.	
Lando Calrissian (C)	ESB	Lando_Calrissian_C	N	Character	Bespin Smuggler Diplomat	7	50	4	4	U	108	A unit must actually be discarded to the discard pile in order to prevent damage to this unit.	Discard one of your other units from any arena or your build zone -> Prevent all damage to Lando. You gain 2 build points next turn.	
Leia's Warning	ESB	Leias_Warning	L	Battle						U	109		Pay 3 Force -> Choose one of your Jedi Characters. This turn, when that Character would be damaged, prevent up to 2 of that damage.	
Luke Skywalker (I)	ESB	Luke_Skywalker_I	L	Character	Rebel Officer Jedi Padawan	6	50	5	4	U	110	If Luke Skywalker (I) is the only card in the stack, then Luke Skywalker (I) may "Pay 2 Force -> Evade 1."	Pay 2 Force -> Evade X, where X is the number of cards in Luke's stack.	
Medical Center	ESB	Medical_Center	L	Location	Character	1				U	111		Each of your Characters gets "[tap] -> Remove 3 damage counter from this Character. Play only during your build step."	
Millennium Falcon (D)	ESB	Millennium_Falcon_D	L	Space	Rebel Transport	8	60	5	4	U	112		The Millennium Falcon can have an extra Pilot. | Accuracy 1 | Armor | Shields 1	
Mynock	ESB	Mynock	N	Space	Creature	2	30	1	1	U	113	The second ability only counts whether this unit is tapped at the start of the Space battle step. It doesn't matter if it becomes untapped later or if it was untapped at the beginning of the turn.	You may choose not to untap this unit during your untap step. When the Space battle step starts, if this unit is tapped, the last unit it attacked gets -3 power until end of turn.	
