Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification	DraftRarity
Jedi Starfighter Wing	SR	SR015_Jedi_Starfighter_Wing	L	Space	Jedi Squadron	7.0	50.0	4.0	5.0	R	15.0		This unit gets +4 power as long as there are no damage counters on it.		WOTC, REP, CW	
Jocasta Nu (A)	SR	SR016_Jocasta_Nu_A	L	Character	Jedi Knight	6.0	30.0	2.0	5.0	R	16.0		As long as Jocasta is in the Character arena, draw 2 extra cards during your draw step and then put 2 cards from your hand on the bottom of your deck. | Pay 1 Force -> Evade 2		WOTC, REP, CW	
Mace Windu (A)	SR	SR017_Mace_Windu_A	L	Character	Jedi Master	10.0	60.0	8.0	7.0	R	17.0		When the battle phase ends, if Mace is in the Character arena, you gain +1 Force. | Pay 5 force -> Deflect 2		WOTC, REP, CW	
Mace Windu (C)	SR	SR018_Mace_Windu_C	L	Character	Jedi Master	8.0	60.0	6.0	7.0	R	18.0		Pay 2 Force -> Evade 2 | Stun 2		WOTC, REP, CW	
Massiff	SR	SR019_Massiff	N	Character	Tatooine Tusken Creature	3.0	60.0	2.0	2.0	R	19.0		Stun 2		WOTC, REP, CW	
Nute Gunray (B)	SR	SR020_Nute_Gunray_B	D	Character	Trade Federation Diplomat	4.0	10.0	2.0	3.0	R	20.0	If no roll for build points is made, Nute's ability has no effect.	When the roll for build points is made, if Nute is in the Character arena, you get +1 build point this turn.		WOTC, REP, CW	
Republic Drop Ship	SR	SR021_Republic_Drop_Ship	L	Ground	Republic Gunship	5.0	50.0	2.0	3.0	R	21.0	You don't get the effect during setup.	When you deploy this unit, you get +2 build points this turn. | Shields 1		WOTC, REP, CW	
Sio Bibble (A)	SR	SR022_Sio_Bibble_A	L	Character	Naboo Diplomat	3.0	20.0	1.0	3.0	R	22.0		As long as Sio is in the Character arena, each other Naboo Character gets +20 Speed and +1 power.		WOTC, REP, CW	
Sith Infiltrator (A)	SR	SR023_Sith_Infiltrator_A	D	Space	Dark Jedi - Sith Transport	4.0	50.0	4.0	3.0	R	23.0	Only Sith Infiltrator (A) is returned and only if it is on top of the stack. (Because it names itself without referring to its stack.) All other versions that were in its stack remain discarded and Equipment remains detached.	When Sith Infiltrator is discarded from the Space arena, you may pay 2 Force. If you do, return Sith Infiltrator from your discard pile to your hand.		WOTC, REP	
Slave I (B)	SR	SR024_Slave_I_B	D	Space	Patrol Ship	5.0	50.0	5.0	4.0	R	24.0		Stun 3		WOTC, REP, CW	
Super Battle Droid 5TE	SR	SR025_Super_Battle_Droid_5TE	D	Character	Trade Federation Droid	4.0	40.0	4.0	4.0	R	25.0		As long as you have another Droid in any arena, this unit gets +10 speed and +1 power.		WOTC, REP, CW	
Trade Federation Control Core	SR	SR026_Trade_Federation_Control_Core	D	Ground	Trade Federation Fortification	10.0	10.0	12.0	14.0	R	26.0				WOTC, REP, CW	
Tusken Camp	SR	SR027_Tusken_Camp	N	Ground	Tatooine Tusken Fortification	4.0	30.0	3.0	3.0	R	27.0		When the battle phase starts, if this unit is in the Ground arena, remove 1 damage counter from each of your damaged Tuskens.		WOTC, REP, CW	
Twilight of the Republic	SR	SR028_Twilight_of_the_Republic	D	Mission		2.0				R	28.0	Text erratum. | Your build step is only paused. You do not get a second start of build step.	After you complete Twilight of the Republic, your build step stops and the Light Side build step starts. After the Light Side build step, your build step continues using your remaining build points. Also, the Light Side retreat step happens before the Dark Side retreat step this turn.		WOTC, REP, CW	
Unfriendly Fire	SR	SR029_Unfriendly_Fire	D	Battle						R	29.0	Unfriendly Fire also damages your own units.	Pay 7 Force -> Choose an arena. Unfriendly Fire does 2 damage to each unit in that arena. (This includes your units.)		WOTC, REP, CW	
Yoda (C)	SR	SR030_Yoda_C	L	Character	Jedi Master	8.0	40.0	7.0	6.0	R	30.0	Yoda's first ability only prevents your opponent from using Evade for the effect. Other battle cards and abilities that prevent damage can still be used for units that are not Masters..	[tap], 2 Force pay -> An Opponents unit you choose. In the Character arena it must be. To that Character 4 damage Yoda does. To prevent that damage your opponent Evade cannot use, unless that Character a Jedi Master or Sith Master is. Only when Yoda would attack play. | 2 Force Pay -> Evade 3		WOTC, REP, CW	
Aiwha Rider	SR	SR031_Aiwha_Rider	N	Ground	Kaminoan Creature Soldier	3.0	50.0	2.0	2.0	U	31.0		When you deploy this unit, look at your opponents hand.		WOTC, REP, CW	
C-3PO (B)	SR	SR032_C-3PO_B	L	Character	Protocol Droid	3.0	10.0	2.0	3.0	U	32.0		When C3PO is discarded from the Character arena, draw 2 cards.		WOTC, REP, CW	
Careful Targeting	SR	SR033_Careful_Targeting	N	Battle						U	33.0	Text erratum	Pay 1 Force -> Choose a unit. That unit loses Shields until end of battle.		WOTC, REP, CW	
Clever Escape	SR	SR034_Clever_Escape	N	Battle						U	34.0		Pay 4 Force -> Untap one of your units with power 5 or less.		WOTC, REP, CW	
Clone Trooper 6/298	SR	SR035_Clone_Trooper_6_298	L	Character	Clone Soldier	3.0	60.0	2.0	3.0	U	35.0				WOTC, REP, CW	
Darth Maul (B)	SR	SR036_Darth_Maul_B	D	Character	Dark Jedi - Sith Apprentice	7.0	60.0	6.0	4.0	U	36.0		Pay 2 force -> Evade 2		WOTC, REP	
Darth Tyranus (E)	SR	SR037_Darth_Tyranus_E	D	Character	Dark Jedi Master - Sith Lord	6.0	50.0	5.0	5.0	U	37.0		Stun 2 | Pay 2 Force -> Evade 2		WOTC, REP, CW	
Destroyer Droid, W Series	SR	SR038_Destroyer_Droid_W_Series	D	Character	Trade Federation Droid	5.0	30.0	4.0	3.0	U	38.0		When the Character battle step starts, if this unit is in the Character arena, choose one- This unit gets +20 speed or this unit gets +2 power until end of battle. | Shields 1		WOTC, REP, CW	
Female Tusken Raider	SR	SR039_Female_Tusken_Raider	N	Character	Tatooine Tusken Warrior	2.0	20.0	2.0	2.0	U	39.0		[tap] -> Remove one damage counter from each of your damaged Tuskens. Play only during your build step.		WOTC, REP, CW	
Fog of War	SR	SR040_Fog_of_War	N	Mission		3.0				U	40.0		For each unit in the Space, Ground, and Character arenas (yours and your opponent's), roll one of your dice. If you roll a 5 or a 6 for a unit, tap it.		WOTC, REP, CW	
Geonosian Scout	SR	SR041_Geonosian_Scout	D	Character	Geonosian Soldier	4.0	40.0	4.0	3.0	U	41.0		Each unit gets -2 power as long as it's attacking this unit and you have another Geonosian in the Character arena.		WOTC, REP, CW	
Hailfire Droid	SR	SR042_Hailfire_Droid	D	Ground	IG Banking Clan Droid	6.0	40.0	5.0	5.0	U	42.0		Stun 3		WOTC, REP, CW	
Homing Spider Droid	SR	SR043_Homing_Spider_Droid	D	Ground	Commerce Guild Droid	7.0	40.0	7.0	5.0	U	43.0		Shields 1		WOTC, REP, CW	
Infantry Battle Droid	SR	SR044_Infantry_Battle_Droid	D	Character	Trade Federation Droid	4.0	20.0	3.0	2.0	U	44.0		When this unit attacks, you may give it +5 power for this attack. If you do, it does 2 damage to itself when the attack ends. When this unit is discarded from the Character arena, draw a card.		WOTC, REP, CW	
Jedi Heroes	SR	SR045_Jedi_Heroes	L	Ground	Jedi Knight	6.0	50.0	6.0	4.0	U	45.0		Pay 2 Force -> Evade 1		WOTC, REP, CW	
Jedi Starfighter Scout	SR	SR046_Jedi_Starfighter_Scout	L	Space	Jedi Starfighter	4.0	50.0	3.0	3.0	U	46.0		Stun 2		WOTC, REP, CW	
Mace Windu (B)	SR	SR047_Mace_Windu_B	L	Character	Jedi Master	7.0	60.0	6.0	5.0	U	47.0		Pay 2 Force -> Evade 2 | Pay 1 Force -> Mace gets +2 power for this attack.		WOTC, REP, CW	
Moment of Truth	SR	SR048_Moment_of_Truth	L	Battle						U	48.0		Pay 1 Force -> Prevent 1 damage to one of your units. If Mace Windu is in the Character arena, prevent up to 2 damage to that unit instead.		WOTC, REP, CW	
Obi-Wan Kenobi (D)	SR	SR049_Obi-Wan_Kenobi_D	L	Character	Jedi Knight	6.0	60.0	4.0	6.0	U	49.0		Stun 3 | Pay 2 Force -> Evade 2		WOTC, REP, CW	
Out of His Misery	SR	SR050_Out_of_His_Misery	L	Battle						U	50.0		Pay 3 Force -> One of your Jedi gets +20 speed and Stun 4 until end of battle.		WOTC, REP, CW	
Padme Amidala (E)	SR	SR051_Padme_Amidala_E	L	Character	Naboo Diplomat	5.0	40.0	4.0	4.0	U	51.0	Text erratum	As long as Padme is in the Character arena, each Light Side Character costs 1 fewer build counters to deploy.		WOTC, REP, CW	
Passel Argente (A)	SR	SR052_Passel_Argente_A	D	Character	Corporate Alliance Diplomat	3.0	10.0	1.0	3.0	U	52.0		As long as Passel is in the Character arena, each of your other Characters gets +1 power.		WOTC, REP, CW	
Price of Failure	SR	SR053_Price_of_Failure	D	Mission		2.0				U	53.0		You may discard one of your units from any arena. If you do, draw 4 cards, then gain +1 Force.		WOTC, REP, CW	
R2-D2 (B)	SR	SR054_R2-D2_B	L	Character	Astromech Droid	3.0	40.0	1.0	3.0	U	54.0		[tap] -> Remove up to 2 damage counters from one of your Space units. Play only during your build step.		WOTC, REP, CW	
Recognition of Valor	SR	SR055_Recognition_of_Valor	L	Mission		3.0				U	55.0		Count the number of Jedi you have in the Space, Ground, and Character arenas. You gain that much Force.		WOTC, REP, CW	
Sun Fac (A)	SR	SR056_Sun_Fac_A	D	Character	Geonosian Diplomat	2.0	40.0	1.0	2.0	U	56.0		As long as Sun is in the Character arena, each of your other Geonosians get Critical Hit 1.		WOTC, REP, CW	
Techno Union Warship	SR	SR057_Techno_Union_Warship	D	Space	Techno Union Transport	7.0	30.0	3.0	10.0	U	57.0		When this unit attacks, you may give it +5 power for this attack. If you do, it does 2 damage to itself when the attack ends.		WOTC, REP, CW	
Trade Federation Offensive	SR	SR058_Trade_Federation_Offensive	D	Battle						U	58.0		Pay 4 Force -> Choose Space or Ground. Each of your units in that arena gets +30 Speed until the end of battle.		WOTC, REP, CW	
Tusken Raider	SR	SR059_Tusken_Raider	N	Character	Tatooine Tusken Warrior	2.0	30.0	1.0	2.0	U	59.0		This unit gets +1 power for each other Tusken in any arena.		WOTC, REP, CW	
Visit the Lake Retreat	SR	SR060_Visit_the_Lake_Retreat	L	Mission		3.0				U	60.0		Remove up to 2 damage counters from one of your Space units. Remove up to 2 damage counters from one of your Ground units. Remove up to 2 damage counters from one of your Character units.		WOTC, REP, CW	
Acclamator-Class Assault Ship	SR	SR061_Acclamator-Class_Assault_Ship	L	Space	Republic Capital Ship	8.0	10.0	8.0	10.0	C	61.0				WOTC, REP, CW	
Aggressive Negotiations	SR	SR062_Aggressive_Negotiations	N	Battle						C	62.0		Pay 4 Force -> One of your units gets Critical Hit 3 for this attack.		WOTC, REP, CW	
Anakin Skywalker (F)	SR	SR063_Anakin_Skywalker_F	L	Character	Jedi Padawan	5.0	50.0	5.0	4.0	C	63.0		Stun 2 | Pay 1 Force -> Evade 1		WOTC, REP, CW	
AT-TE Troop Transport	SR	SR064_AT-TE_Troop_Transport	L	Ground	Republic Assault Walker	5.0	50.0	4.0	4.0	C	64.0		Shields 1		WOTC, REP, CW	
Battle Droid Assault Squad	SR	SR065_Battle_Droid_Assault_Squad	D	Ground	Trade Federation Droid	4.0	40.0	4.0	3.0	C	65.0		Critical Hit 1		WOTC, REP, CW	
Brutal Assault	SR	SR066_Brutal_Assault	N	Battle						C	66.0		Pay 2 Force -> One of your units gets +5 power for this attack. When the attack ends, that unit does 2 damage to itself.		WOTC, REP, CW	
Clone Trooper Legion	SR	SR067_Clone_Trooper_Legion	L	Ground	Clone Soldier	7.0	30.0	7.0	7.0	C	67.0				WOTC, REP, CW	
Commerce Guild Cruiser	SR	SR068_Commerce_Guild_Cruiser	D	Space	Commerce Guild Transport	7.0	40.0	7.0	5.0	C	68.0		Shields 1		WOTC, REP, CW	
Commerce Guild Spider Droid	SR	SR069_Commerce_Guild_Spider_Droid	D	Ground	Commerce Guild Droid	3.0	50.0	3.0	2.0	C	69.0				WOTC, REP, CW	
Concentrated Fire	SR	SR070_Concentrated_Fire	N	Mission		2.0				C	70.0	If there are no units in the Space arena at the start of the Battle phase, Concentrated Fire does nothing.	When the battle phase starts, choose one of your opponent's units in the Space arena. Concentrated Fire does 4 dice of damage to that unit.		WOTC, REP	
Coruscant Speeder	SR	SR071_Coruscant_Speeder	N	Ground	Independent Speeder	2.0	30.0	2.0	1.0	C	71.0				WOTC, REP, CW	
Darth Maul (D)	SR	SR072_Darth_Maul_D	D	Character	Dark Jedi - Sith Apprentice	5.0	50.0	4.0	4.0	C	72.0		Stun 2 | Pay 1 force -> Evade 1		WOTC, REP	
Diplomatic Cruiser	SR	SR073_Diplomatic_Cruiser	L	Space	Republic Transport	3.0	10.0	2.0	4.0	C	73.0		Critical Hit 1		WOTC, REP, CW	
Droid Starfighter DFS-1VR	SR	SR074_Droid_Starfighter_DFS-1VR	D	Space	Trade Federation Droid Starfighter	2.0	50.0	1.0	1.0	C	74.0		When this unit attacks, you may give it +5 power. If you do, it does 1 damage to itself when the attack ends.		WOTC, REP, CW	
Geonosian Artillery Battery	SR	SR075_Geonosian_Artillery_Battery	D	Ground	Geonosian Fortification	5.0	50.0	5.0	3.0	C	75.0				WOTC, REP, CW	
Geonosian Defense Fighter	SR	SR076_Geonosian_Defense_Fighter	D	Space	Geonosian Starfighter	3.0	60.0	2.0	3.0	C	76.0				WOTC, REP, CW	
Maul's Strategy	SR	SR077_Maul_s_Strategy	D	Mission		3.0				C	77.0		You gain +2 Force. Your opponent loses 2 Force. If Darth Maul is in the Character arena, you gain an extra +1 Force and your opponent loses an extra 1 force.		WOTC, REP	
Mobile Assault Cannon	SR	SR078_Mobile_Assault_Cannon	L	Ground	Republic Assault Walker	8.0	30.0	7.0	8.0	C	78.0		Ion Cannon 2		WOTC, REP, CW	
Naboo Starfighter Wing	SR	SR079_Naboo_Starfighter_Wing	L	Space	Naboo Squadron	4.0	40.0	2.0	4.0	C	79.0		This unit gets +3 power as long as there are no damage counters on it.		WOTC, REP, CW	
Nubian Yacht	SR	SR080_Nubian_Yacht	L	Space	Naboo Transport	5.0	40.0	4.0	5.0	C	80.0				WOTC, REP, CW	
Padawan and Senator	SR	SR081_Padawan_and_Senator	N	Battle						C	81.0		Pay 5 Force -> Up to 2 of your units each get +3 Power until end of battle.		WOTC, REP, CW	
Reassemble C-3PO	SR	SR082_Reassemble_C-3PO	N	Mission		1.0				C	82.0		Remove up to 2 damage counters from any one of your units.		WOTC, REP, CW	
Republic LAAT/i Gunship	SR	SR083_Republic_LAAT_i_Gunship	L	Ground	Republic Gunship	6.0	50.0	7.0	3.0	C	83.0				WOTC, REP, CW	
Retreat Underground	SR	SR084_Retreat_Underground	N	Battle						C	84.0		Pay 1 Force -> Retreat one of your units. Play only if no unit is attacking.		WOTC, REP, CW	
Run the Gauntlet	SR	SR085_Run_the_Gauntlet	N	Mission		2.0				C	85.0	Your opponent gets the +2 Force after the damage has been done. So he or she can't use that Force to reroll any of the dice or prevent any of the damage.	When the battle phase starts, choose one of your opponent's units in the Ground arena. Run the Gauntlet does 6 dice of damage to that unit. Your opponent gains +2 Force		WOTC, REP, CW	
Senatorial Cruiser	SR	SR086_Senatorial_Cruiser	L	Space	Naboo Transport	6.0	40.0	4.0	5.0	C	86.0		When you deploy this unit, you may return a Starfighter from your discard pile to your hand. | Shields 1		WOTC, REP, CW	
Shoot Her or Something	SR	SR087_Shoot_Her_or_Something	N	Battle						C	87.0		Pay 2 Force -> Choose one of more of your opponent's attack dice. Your opponent rerolls those dice.		WOTC, REP, CW	
Super Battle Droid Squad	SR	SR088_Super_Battle_Droid_Squad	D	Ground	Droid Squad	5.0	30.0	5.0	6.0	C	88.0				WOTC, REP, CW	
Suppressing Fire	SR	SR089_Suppressing_Fire	N	Battle						C	89.0	Suppressing Fire is only played during the attack POP.	Pay 2 Force -> One of your units using Bombard to attack a Ground unit gets +4 power for this attack.		WOTC, REP, CW	
Trade Federation Warship	SR	SR090_Trade_Federation_Warship	D	Space	Trade Federation Capital Ship	8.0	20.0	8.0	8.0	C	90.0				WOTC, REP, CW	
Darth Maul (B) (Promo)	SR	SRpromo_Darth_Maul_B	D	Character	Dark Jedi - Sith Apprentice	7.0	60.0	6.0	4.0	P			Pay 2 force -> Evade 2		WOTC, REP	
Mace Windu (B) (Promo)	SR	SRpromo_Mace_Windu_B	L	Character	Jedi Master	7.0	60.0	6.0	5.0	P			Pay 2 Force -> Evade 2 | Pay 1 Force -> Mace gets +2 power for this attack.		WOTC, REP, CW	
Padme Amidala (E) (Promo)	SR	SRpromo_Padme_Amidala_E	L	Character	Naboo Diplomat	5.0	40.0	4.0	4.0	P		Text erratum	As long as Padme is in the Character arena, each Light Side Character costs 1 fewer build counters to deploy.		WOTC, REP, CW	
