Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification	DraftRarity
Figrin D'an (A)	ANH	ANH015_Figrin_D_an_A	N	Character	Bith Musician	4.0	20.0	3.0	3.0	R	15.0		As long as Figrin is in the Character arena, each of your opponent's Characters gets -10 speed and -1 power.		WOTC, REB, EP456	
Greedo (A)	ANH	ANH016_Greedo_A	N	Character	Rodian Bounty Hunter	3.0	40.0	4.0	3.0	R	16.0		When the Character battle step starts, your opponent may pay 3 Force. If he or she does, retreat Greedo.		WOTC, REB, EP456	
Hold 'Em Off	ANH	ANH017_Hold_Em_Off	L	Battle						R	17.0		Pay 4 Force -> Each of your Characters gets +10 speed and Stun 2 until end of turn.		WOTC, REB, EP456	
Imperial Blockade	ANH	ANH018_Imperial_Blockade	D	Mission		2.0				R	18.0	Any unspent build points are lost.	To complete Imperial Blockade, you must pay 8 Force. Your opponent can't spend build points this turn.		WOTC, REB, EP456	
Imperial Navy Helmsman	ANH	ANH019_Imperial_Navy_Helmsman	D	Character	Imperial Naval Officer	4.0	20.0	3.0	4.0	R	19.0		[Pilot] Capital Ship Pilot. The Capital Ship gets +20 Speed.		WOTC, REB, EP456	
Imperial Sentry Droid	ANH	ANH020_Imperial_Sentry_Droid	D	Character	Imperial Patrol Droid	3.0	60.0	1.0	1.0	R	20.0		When the battle phase ends, if this unit is the Character arena, look at your opponent's hand.		WOTC, REB, EP456	
IT-0 Interrogator Droid	ANH	ANH021_IT_0_Interrogator_Droid	D	Character	Imperial Interrogation Droid	4.0	20.0	1.0	3.0	R	21.0		[tap] -> Look at your opponent's hand. If there are any Battle or Mission cards there, choose one of them. Your opponent discards that card. Play only during your build step.		WOTC, REB, EP456	
Jawa Leader	ANH	ANH022_Jawa_Leader	N	Character	Tatooine Jawa	3.0	20.0	3.0	3.0	R	22.0		As long as this unit is in the Character arena, each other Jawa (yours and your opponent's) gets +1 power.		WOTC, REB, EP456	
Krayt Dragon	ANH	ANH023_Krayt_Dragon	N	Ground	Tatooine Dragon Creature	9.0	30.0	8.0	7.0	R	23.0		When this unit damages another unit and the other unit is discarded, untap this unit.		WOTC, REB, EP456	
Leia's Kiss	ANH	ANH024_Leia_s_Kiss	L	Battle						R	24.0		Pay 3 Force -> One of your units gets +30 speed and Accuracy 1 until end of turn.		WOTC, REB, EP456	
Luke Skywalker (B)	ANH	ANH025_Luke_Skywalker_B	L	Character	Jedi Padawan	4.0	50.0	4.0	3.0	R	25.0		Pay 2 Force -> Evade 1 | Pay 2 Force -> Luke gets +20 speed until the end of turn.		WOTC, REB, EP456	
Luke Skywalker (A)	ANH	ANH026_Luke_Skywalker_A	L	Character	Jedi Padawan	5.0	50.0	4.0	4.0	R	26.0		Pay 2 Force -> Evade 1 | [tap] -> Search your deck. You may take a Luke Skywalker card from your deck. Show it to your opponent and put it into your hand. Then shuffle your deck. Play only during the build step.		WOTC, REB, EP456	
Luke's Speeder (A)	ANH	ANH027_Luke_s_Speeder_A	L	Ground	Tatooine Speeder	3.0	50.0	2.0	2.0	R	27.0		Discard Luke's Speeder from the Ground arena -> Show one of your partially built Space unit cards to your opponent. Put 3 build counters on it. Play only during your build step.		WOTC, REB, EP456	
Luke's X-Wing (A)	ANH	ANH028_Luke_s_X_wing_A	L	Space	Rebel Starfighter	4.0	50.0	3.0	2.0	R	28.0		Accuracy 1 | Shields 1		WOTC, REB, EP456	
Momaw Nadon (A)	ANH	ANH029_Momaw_Nadon_A	L	Character	Ithorian Diplomat	4.0	30.0	3.0	5.0	R	29.0		As long as Momaw is in the Character arena, each Stormtrooper in that arena gets -20 speed.		WOTC, REB, EP456	
Most Desperate Hour	ANH	ANH030_Most_Desperate_Hour	L	Battle						R	30.0	This card works best in tandem with a fully stacked Luke's X-Wing (B) or (D) with Luke Skywalker (E) piloting.	Pay 5 Force -> One of your Starfighters gets Critical Hit 6 until end of turn. Tap all your other units in the Space arena. Play only before any of your Space units attack.		WOTC, REB, EP456	
No Escape	ANH	ANH031_No_Escape	D	Battle						R	31.0	Works best against units using Reserve abilities.	Pay 3 Force -> Choose a Character in your opponent's build zone. Put that Character into the Character arena. If that Character is tapped, untap that Character.		WOTC, REB, EP456	
Obi-Wan Kenobi (E)	ANH	ANH032_Obi_Wan_Kenobi_E	L	Character	Jedi Knight	6.0	50.0	5.0	5.0	R	32.0		Each non-Jedi Character gets -2 power as long as it's attacking Obi-Wan. | Pay 2 Force -> Evade 2		WOTC, REB, EP456	
Obi-Wan's Prowess	ANH	ANH033_Obi_Wan_s_Prowess	L	Battle						R	33.0		Pay 4 Force -> Prevent up to 2 Damage to one of your Characters. That Character may do that much damage to a Character of your choice in the same arena.		WOTC, REB, EP456	
Obi-Wan's Task	ANH	ANH034_Obi_Wan_s_Task	L	Mission		1.0				R	34.0		To complete Obi-Wan's Task, you must also tap one of your untapped Jedi in the Character arena. | You get +3 build points this turn.		WOTC, REB, EP456	
Our Only Hope	ANH	ANH035_Our_Only_Hope	L	Mission		1.0				R	35.0		You may complete Our Only Hope only if you have exactly 1 other partially built card. | Discard your hand and put 4 build counters on that card.		WOTC, REB, EP456	
Owen Lars (A)	ANH	ANH036_Owen_Lars_A	L	Character	Tatooine Farmer	3.0	20.0	2.0	4.0	R	36.0		Discard Owen from the Character arena -> Choose one of your Characters, that Character can't be attacked this turn. Play only during your build step.		WOTC, REB, EP456	
Plan of Attack	ANH	ANH037_Plan_of_Attack	N	Mission		2.0				R	37.0		To complete Plan of Attack, you must also tap one of your untapped units in the Character arena. | Search your deck. You may take a Battle card from your deck. Show it to your opponent and put it into your hand. Then shuffle your deck.		WOTC, REB, EP456	
Princess Leia (A)	ANH	ANH038_Princess_Leia_A	L	Character	Rebel Diplomat	6.0	40.0	4.0	4.0	R	38.0		When the battle phase ends, if Leia is in the Character arena, your opponent loses 1 Force. | When one of your opponent's Characters would damage Leia, prevent that damage unless your opponent pays 2 Force.		WOTC, REB, EP456	
Protection of the Master	ANH	ANH039_Protection_of_the_Master	L	Battle						R	39.0		Tap one of your untapped Jedi in any arena -> Prevent all damage to one of your other Jedi in that arena.		WOTC, REB, EP456	
R5-D4 (A)	ANH	ANH040_R5_D4_A	L	Character	Astromech Droid	3.0	10.0	2.0	2.0	R	40.0	Text erratum	When R5-D4 attacks, you may give it +1 power for that attack. If you do, when the attack ends R5-D4 does 2 damage to itself. | When R5-D4 is discarded from the Character arena, search your deck. You may take an Astromech Droid card from your deck. Show it to your opponent and put it into your hand. Then shuffle your deck.		WOTC, REB, EP456	
Rebel Crew Chief	ANH	ANH041_Rebel_Crew_Chief	L	Character	Rebel Technician	3.0	10.0	2.0	4.0	R	41.0		[tap] -> Show one of your partially built Starfighter cards to your opponent. Put 1 build counter on it. Play only during your build step.		WOTC, REB, EP456	
Rebel Lieutenant	ANH	ANH042_Rebel_Lieutenant	L	Character	Rebel Officer	4.0	10.0	3.0	4.0	R	42.0		[Pilot] Capital Ship Pilot. The Capital Ship gets: * +10 speed. * +1 power. * As long as this unit is in the Space arena, each of your other Space units gets +10 speed.		WOTC, REB, EP456	
Regroup on Yavin	ANH	ANH043_Regroup_on_Yavin	L	Mission		1.0				R	43.0	This turn doesn't mean anything. You get the build points when you play the card.	If you have 2 or more units in each arena, you get +3 build points this turn.		WOTC, REB, EP456	
Sandtrooper	ANH	ANH044_Sandtrooper	D	Character	Imperial Clone Stormtrooper	5.0	30.0	5.0	4.0	R	44.0		As long as this unit is attacking a Tatooine Character, it gets Critical Hit 2.		WOTC, REB, EP456	
Starfighter's End	ANH	ANH045_Starfighter_s_End	L	Battle						R	45.0	For example, if your Starfighter has 60 speed, it does 6 damage to your opponent's unit. | If an effect stops the Starfighter from being discarded, this card still has effect, but you just don't discard your unit.	Pay 6 Force -> Choose one of your untapped Starfighters in the Space arena and one of your opponent's units in that arena. For each 10 speed your Starfighter has, it does 1 damage to that unit. Then discard your Starfighter from the Space arena. Play only if no unit is attacking.		WOTC, REB, EP456	
Stormtrooper TK-421	ANH	ANH046_Stormtrooper_TK_421	D	Character	Imperial Clone Stormtrooper	5.0	40.0	6.0	5.0	R	46.0		This unit gets -2 power as long as it's attacking a unique Character.		WOTC, REB, EP456	
Strategy Session	ANH	ANH047_Strategy_Session	L	Mission		4.0				R	47.0	This effect applies to all your units in play or that come into play later in the turn.	Each of your units gets Accuracy 1 until end of turn.		WOTC, REB, EP456	
Strike Me Down	ANH	ANH048_Strike_Me_Down	L	Battle						R	48.0		Discard one of your Jedi from the Character arena -> You gain +6 Force. Play only if no unit is attacking.		WOTC, REB, EP456	
Surprise Attack	ANH	ANH049_Surprise_Attack	L	Mission		2.0				R	49.0	Works best in tandem with Disturbance in the Force.	Your opponent can't play Battle cards this turn.		WOTC, REB, EP456	
Tantive IV (A)	ANH	ANH050_Tantive_IV_A	L	Space	Rebel Capital Ship	6.0	30.0	5.0	5.0	R	50.0		Shields 1 | When Tantive IV is discarded from the Space arena, your opponent loses 3 Force.		WOTC, REB, EP456	
Tarkin's Stench	ANH	ANH051_Tarkin_s_Stench	D	Battle						R	51.0		Pay 12 Force -> Choose an arena. Tap all of your opponent's untapped units in that arena.		WOTC, REB, EP456	
TIE Fighter Elite Pilot	ANH	ANH052_TIE_Fighter_Elite_Pilot	D	Character	Imperial Naval Officer	3.0	30.0	2.0	2.0	R	52.0		[Pilot] Starfighter Pilot. The Starfighter gets: * +20 speed. * Critical Hit 2.		WOTC, REB, EP456	
Tiree (A)	ANH	ANH053_Tiree_A	L	Character	Rebel Officer	3.0	30.0	2.0	3.0	R	53.0		[Pilot] Starfighter Pilot. The Starfighter gets: * Pay 2 Force -> Intercept. * When this Starfighter is discarded from the Space arena, each of your other Starfighters gets +2 power until end of turn.		WOTC, REB, EP456	
Tractor Beam	ANH	ANH054_Tractor_Beam	D	Battle						R	54.0		Pay 6 Force -> Choose a Space unit in your opponent's build zone. Put that unit into the Space arena. If it's untapped, tap it. Until end of turn, each of your units gets Accuracy 1 as long as it's attacking that unit.		WOTC, REB, EP456	
URoRRuR'R'R (A)	ANH	ANH055_URoRRuR_R_R_A	N	Character	Tatooine Tusken Soldier	4.0	60.0	2.0	2.0	R	55.0		As long as you have more units in the Character arena than your opponent, URoRRuR'R'R gets +2 power.		WOTC, REB, EP456	
Imperial Manipulation	ANH	ANH056_Imperial_Manipulation	D	Mission		2.0				R	56.0	You can move the damage counter onto one of your opponent's units or from one of your opponent's units to another of his or her units.	When the battle phase starts, move 1 damage counter from one unit to another unit in the same arena. (This can't be prevented.)		WOTC, REB, EP456	
Vader's Leadership	ANH	ANH057_Vader_s_Leadership	D	Battle						R	57.0		Pay 9 Force -> Choose an arena. Each of your units in that arena gets +3 power until end of turn.		WOTC, REB, EP456	
Vader's TIE Fighter (A)	ANH	ANH058_Vader_s_TIE_Fighter_A	D	Space	Imperial Dark Jedi - Sith Starfighter	5.0	50.0	3.0	2.0	R	58.0	If some of the cards have left the discard pile by the time the second ability takes effect, you don't get them back in your hand. | Vader's TIE Fighter (A) retrieves all cards that were part of its stack and Equipment. It does not re-attach Equipment that was detached when it was discarded or any cards put face down under it. | Cards under Vader's TIE Fighter (A) that you do not own do not return to your hand, but remain in your opponent's discard pile as per the Global Zone Rule. | If the Light Side player controls Vader's TIE Fighter (A), then the Light Side may pay the 2 Force. However, Vader's TIE Fighter won't be in the Light Side discard pile when the effect resolves. Therefore, neither side will retrieve Vader's TIE Fighter.	Pay 2 Force -> Evade 2 | When Vader's TIE Fighter is discarded from the Character arena, you may pay 2 Force. If you do, return Vader's TIE Fighter and all cards stacked with it, and its Pilot, if any, from your discard pile to your hand.		WOTC, REB, EP456	
Wedge Antilles (A)	ANH	ANH059_Wedge_Antilles_A	L	Character	Rebel Officer	4.0	40.0	3.0	2.0	R	59.0		[Pilot] Starfighter Pilot. The Starfighter gets: * +20 speed. * +2 power. * Pay 1 Force -> Retreat this Starfighter. Play only if no unit is attacking and only if the Starfighter has 1 or more damage counters on it.		WOTC, REB, EP456	
Yavin 4 Hangar Base	ANH	ANH060_Yavin_4_Hangar_Base	L	Ground	Rebel Fortification	7.0	20.0	5.0	9.0	R	60.0		[tap] -> Search your deck. You may take a Starfighter card from your deck. Show it to your opponent and put it into your hand. Then shuffle your deck. Play only during your build step.		WOTC, REB, EP456	
Astromech Assistance	ANH	ANH061_Astromech_Assistance	L	Battle						U	61.0		Pay 1 Force -> Remove up to 2 damage counters from one of your Space units.		WOTC, REB, EP456	
Benefits of Training	ANH	ANH062_Benefits_of_Training	N	Battle						U	62.0		Pay 4 Force -> Each of your Soldiers in the Ground arena gets Accuracy 1 until end of turn.		WOTC, REB, EP456	
Biggs Darklighter (A)	ANH	ANH063_Biggs_Darklighter_A	L	Character	Rebel Officer	2.0	30.0	2.0	2.0	U	63.0		"[Pilot] Starfighter Pilot. This Starfighter gets ""Discard this Starfighter and Biggs from the Space arena -> Prevent all damage to one of your other space units."""		WOTC, REB, EP456	
C-3PO (C)	ANH	ANH064_C_3PO_C	L	Character	Protocol Droid	3.0	20.0	1.0	3.0	U	64.0		As long as C-3PO is in the Character arena, each of your neutral units costs 1 fewer build counter to deploy.		WOTC, REB, EP456	
Commander Praji (A)	ANH	ANH065_Commander_Praji_A	D	Character	Imperial Officer	3.0	30.0	2.0	1.0	U	65.0		As long as Praji is in the Character arena, each of your other Characters gets +10 speed.		WOTC, REB, EP456	
Tatooine Sandcrawler	ANH	ANH066_Tatooine_Sandcrawler	N	Ground	Tatooine Jawa Sandcrawler	6.0	10.0	2.0	6.0	U	66.0		[tap] -> Search your deck. You may take a Droid or Jawa card from your deck. Show it to your opponent and put it into your hand. Then shuffle your deck. Play only during your build step.		WOTC, REB, EP456	
Darth Vader (B)	ANH	ANH067_Darth_Vader_B	D	Character	Dark Jedi Knight - Sith Lord	6.0	40.0	6.0	5.0	U	67.0		Pay 2 Force -> Vader gets +2 power for this attack. | Pay 3 Force -> Evade 3		WOTC, REB, EP456	
Death Star Hangar Bay	ANH	ANH068_Death_Star_Hangar_Bay	D	Ground	Imperial Fortification	7.0	20.0	2.0	7.0	U	68.0		[tap], Pay 1 build point -> Choose an untapped Space unit with power 5 or less. Tap that unit. Play only during your build step.		WOTC, REB, EP456	
Death Star Plans	ANH	ANH069_Death_Star_Plans	N	Battle						U	69.0		Pay 6 Force -> Choose one of your opponent's units in the Space arena. This turn, each of your units in the Space arena gets Critical Hit 3 as long as it's attacking that unit.		WOTC, REB, EP456	
Death Star Scanning Technician	ANH	ANH070_Death_Star_Scanning_Technician	D	Character	Imperial Soldier	5.0	20.0	3.0	3.0	U	70.0	Text erratum	When you deploy this unit, look at your opponent's hand. Choose one of those cards. Your opponent discards that card.		WOTC, REB, EP456	
Death Star Superlaser Gunner	ANH	ANH071_Death_Star_Superlaser_Gunner	D	Character	Imperial Soldier	2.0	10.0	1.0	3.0	U	71.0		[tap] -> This turn, each of your Space units gets +2 power as long as it's using Bombard to attack a Ground unit. Play only during your build step.		WOTC, REB, EP456	
Death Star Turbolaser Gunner	ANH	ANH072_Death_Star_Turbolaser_Gunner	D	Character	Imperial Soldier	2.0	20.0	2.0	2.0	U	72.0		[tap] -> This turn, each of your Ground units gets +2 Power as long as it's using Ion Cannon to attack a Space unit. Play only during your build step.		WOTC, REB, EP456	
Demonstration of Power	ANH	ANH073_Demonstration_of_Power	D	Mission		3.0				U	73.0		Each of your Dark Side units that has power 5 or more at the time Demonstration of Power is played gets +3 power until end of turn.		WOTC, REB, EP456	
Devastator (A)	ANH	ANH074_Devastator_A	D	Space	Imperial Capital Ship	9.0	20.0	8.0	8.0	U	74.0		Shields 1 | As long as it's attacking a Rebel Space unit, Devastator gets +2 power.		WOTC, REB, EP456	
Dissolve the Senate	ANH	ANH075_Dissolve_the_Senate	D	Mission		5.0				U	75.0		Discard all Diplomats (yours and your opponent's) from the Character arena.		WOTC, REB, EP456	
Error in Judgment	ANH	ANH076_Error_in_Judgment	N	Mission		4.0				U	76.0	This card works well in tandem with an effect that allows you to look at the facedown cards in your opponent's build zone.	Choose one of your opponent's partially built cards. Unless your opponent pays 5 Force, he or she discards that card.		WOTC, REB, EP456	
Fate of the Dragon	ANH	ANH077_Fate_of_the_Dragon	N	Battle						U	77.0		Pay 12 Force -> One of your units gets +10 power for this attack.		WOTC, REB, EP456	
General Dodonna (A)	ANH	ANH078_General_Dodonna_A	L	Character	Rebel Officer	5.0	40.0	4.0	4.0	U	78.0		[tap] -> One of your units gets Accuracy 1 until end of turn. Play only during your build step.		WOTC, REB, EP456	
General Tagge (A)	ANH	ANH079_General_Tagge_A	D	Character	Imperial Officer	3.0	40.0	3.0	3.0	U	79.0		As long as Tagge is in the Character arena, you can't play Battle cards and each of your Capital Ships gets +1 Power.		WOTC, REB, EP456	
Han's Courage	ANH	ANH080_Han_s_Courage	L	Battle						U	80.0		Pay 4 Force -> One of your Characters gets +2 power and Accuracy 1 for this attack.		WOTC, REB, EP456	
Imperial Control Station	ANH	ANH081_Imperial_Control_Station	D	Ground	Imperial Fortification	4.0	10.0	2.0	4.0	U	81.0	As long as this unit is in the Ground arena has no significance.	As long as this unit is in the Ground arena, each of your Imperial Starfighters gets +1 power.		WOTC, REB, EP456	
Imperial Navy Lieutenant	ANH	ANH082_Imperial_Navy_Lieutenant	D	Character	Imperial Naval Officer	5.0	40.0	4.0	4.0	U	82.0		[Pilot] Transport Pilot. The Transport gets +1 power.		WOTC, REB, EP456	
Insignificant Power	ANH	ANH083_Insignificant_Power	D	Mission		3.0				U	83.0		Your opponent loses 4 Force.		WOTC, REB, EP456	
Into the Garbage Chute	ANH	ANH084_Into_the_Garbage_Chute	N	Battle						C	84.0		Pay 4 Force -> Prevent all damage to one of your units in the Character arena. Retreat that unit.		WOTC, REB, EP456	
Jawa	ANH	ANH085_Jawa	N	Character	Tatooine Jawa	2.0	20.0	2.0	2.0	U	85.0				WOTC, REB, EP456	
Jawa Collection Team	ANH	ANH086_Jawa_Collection_Team	N	Ground	Tatooine Jawa	3.0	30.0	2.0	3.0	U	86.0		As long as this unit is attacking a Droid, it gets Stun 4.		WOTC, REB, EP456	
Jedi Extinction	ANH	ANH087_Jedi_Extinction	D	Mission		3.0				U	87.0	This does not allow stacking a Jedi card on a Jedi unit that is already present in the Character arena.	Your opponent can't put Jedi into the Character arena during his or her build step this turn. If your opponent deploys a Jedi this turn, that Jedi stays in his or her build zone.		WOTC, REB, EP456	
"Jon ""Dutch"" Vander (A)"	ANH	ANH088_Jon_Dutch_Vander_A	L	Character	Rebel Officer	3.0	20.0	2.0	3.0	U	88.0		[Pilot] Starfighter Pilot. The Starfighter gets Stun 3.		WOTC, REB, EP456	
Learning the Force	ANH	ANH089_Learning_the_Force	N	Mission		2.0				U	89.0	This does not include Pilots.	You gain +1 Force for each of you Characters in any arena.		WOTC, REB, EP456	
Lieutenant Tanbris (A)	ANH	ANH090_Lieutenant_Tanbris_A	D	Character	Imperial Soldier	4.0	10.0	4.0	5.0	U	90.0				WOTC, REB, EP456	
Lin Demolitionmech	ANH	ANH091_LIN_Demolitionmech	N	Character	Minelayer Droid	4.0	20.0	3.0	3.0	U	91.0		[tap] -> This unit does 2 damage to each other Character in the Character arena (yours and your opponent's). Play only when this unit would attack.		WOTC, REB, EP456	
Luke Skywalker (C)	ANH	ANH092_Luke_Skywalker_C	L	Character	Jedi Padawan	3.0	40.0	2.0	3.0	U	92.0		"As long as you have another Jedi in the Character arena, Luke gets +2 power and ""Pay 3 Force -> Evade 1""."		WOTC, REB, EP456	
Luke's Warning	ANH	ANH093_Luke_s_Warning	L	Battle						U	93.0		Pay 2 Force -> Prevent up to 3 damage to one of your Characters, or prevent 1 damage to one of your Space or Ground units.		WOTC, REB, EP456	
Mounted Stormtrooper	ANH	ANH094_Mounted_Stormtrooper	D	Ground	Imperial Clone Stormtrooper Creature	4.0	10.0	4.0	5.0	U	94.0		Discard this unit from the Ground arena -> Show one of your partially built Stormtrooper Character cards to your opponent. Put 2 build counters on it. Play only during your build step.		WOTC, REB, EP456	
Mouse Droid	ANH	ANH095_Mouse_Droid	D	Character	Imperial Droid	3.0	30.0	0.0	1.0	U	95.0		[tap], Pay 1 build point -> Draw a card. Play only during your build step.		WOTC, REB, EP456	
Obi-Wan Kenobi (F)	ANH	ANH096_Obi_Wan_Kenobi_F	L	Character	Jedi Knight	6.0	40.0	5.0	5.0	U	96.0		Pay 2 Force -> Evade 2 | Pay 1 Force -> Intercept | When Obi-Wan is discarded from the Character arena, you gain +4 Force.		WOTC, REB, EP456	
Oil Bath	ANH	ANH097_Oil_Bath	L	Mission		3.0				U	97.0		Remove up to 4 damage counters from any number of your damaged units in one arena, divided.		WOTC, REB, EP456	
Princess Leia (B)	ANH	ANH098_Princess_Leia_B	L	Character	Rebel Diplomat	4.0	40.0	3.0	3.0	U	98.0		Accuracy 1 | When one of your opponent's Characters would damage Leia, prevent that damage unless your opponent pays 2 Force.		WOTC, REB, EP456	
R2-D2 (C)	ANH	ANH099_R2_D2_C	L	Character	Astromech Droid	4.0	20.0	1.0	3.0	U	99.0		[tap] -> Look at the top 3 cards of your opponent's deck. Put them back in any order. Play only during your build step.		WOTC, REB, EP456	
Rebel Blockade Runner	ANH	ANH100_Rebel_Blockade_Runner	L	Space	Rebel Capital Ship	6.0	30.0	4.0	5.0	U	100.0	The second effect does not trigger deployment effects.	[tap] -> Draw a card. Play only during your build step. | When one of your opponent's effects causes you to discard this card from your hand, you may put it into the Space arena from your discard pile.		WOTC, REB, EP456	
Rebel Control Officer	ANH	ANH101_Rebel_Control_Officer	L	Character	Rebel Soldier	6.0	10.0	4.0	4.0	U	101.0		As long as this unit is in the Character arena, each of your other Rebels gets +10 speed and +1 power.		WOTC, REB, EP456	
Rebel Control Post	ANH	ANH102_Rebel_Control_Post	L	Ground	Rebel Fortification	5.0	10.0	2.0	4.0	U	102.0		[tap] -> Look at the top 5 cards of your opponent's deck. Choose any number of Space unit cards there and put them into your opponent's discard pile. Put the rest back on top in any order. Play only when this unit would attack.		WOTC, REB, EP456	
Rebel Marine	ANH	ANH103_Rebel_Marine	L	Character	Rebel Soldier	2.0	40.0	2.0	2.0	U	103.0		This unit can't attack if you have no units in the Space arena.		WOTC, REB, EP456	
Rebel Surrender	ANH	ANH104_Rebel_Surrender	D	Battle						U	104.0	No dice are rolled for a unit with 0 power, so your opponent rolls no hits for such a unit. | You can play this card only if your opponent rolled no hits. If your opponent rolled any hits but the damage was prevented, this card still can't be played. | If the defending unit is removed from battle after the attack begins, but before the dice are rolled, then no hits are rolled. Rebel Surrender is a valid play in this instance. | Armor can cause the attacking unit to be discarded on a roll of 4 when Rebel Surrender is played. Accuracy can affect this chance.	Pay 4 Force -> Choose one of your opponent's units in the Ground or Character arena. If your opponent rolled no hits for that unit's last attack, he or she discards that unit. Play only after that unit has attacked and before any other unit attacks.		WOTC, REB, EP456	
Rebel Trooper	ANH	ANH105_Rebel_Trooper	L	Character	Rebel Soldier	2.0	10.0	2.0	3.0	U	105.0		Pay 2 Force -> Intercept		WOTC, REB, EP456	
Remote Seeker Droid	ANH	ANH106_Remote_Seeker_Droid	L	Character	Training Droid	2.0	50.0	1.0	2.0	U	106.0		When the battle phase ends, if you have this unit and a Jedi in the Character arena, you gain +1 force.		WOTC, REB, EP456	
Press the Advantage	ANH	ANH107_Press_the_Advantage	N	Mission		3.0				U	107.0	This only affects units in play at the time Press the Advantage is played. 	Choose one: Clone, Droid or Jedi. Each unit of that type gets -3 power until end of turn.		WOTC, REB, EP456	
Stabilize Deflectors	ANH	ANH108_Stabilize_Deflectors	L	Battle						U	108.0		Pay 2 Force -> Each of your Starfighters gets Shields 1 until end of turn.		WOTC, REB, EP456	
